i	arc	where	status	verdict	note	quote
267	B765_p3_depth	frontier/B765_p3_depth/results.json (B500 entry)	LEAD	NOISE		depth>=6 unswept; no depth-uniform obstruction proved
268	B765_p3_depth	frontier/B765_p3_depth/FINDINGS.md:97-98	LEAD	NOISE		None requires new mathematics — all are finite-extension or induction proofs within the existing framework. But none has been executed.
269	B768_correspondence_crosstest	frontier/B768_correspondence_crosstest/FINDINGS.md line 33	LEAD	NOISE		Zero literature citations in the package
270	B768_correspondence_crosstest	frontier/B768_correspondence_crosstest/FINDINGS.md lines 37-38	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	The uniqueness claim is UNVERIFIABLE AS DELIVERED: the 8-primitive / 18-assignment enumeration is not in the package.
271	B768_correspondence_crosstest	frontier/B768_correspondence_crosstest/FINDINGS.md line 83	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	The null (rule 2): STILL BLOCKED — the 18-assignment enumeration remains undelivered
276	B771_phase1_wave1	frontier/B771_phase1_wave1/FINDINGS_WAVE2.md:26 (W2-149 row)	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	"the claimed ""12 genuine FAILUREs"" negative-control run exists nowhere in the artifacts. Carry: actually run the control."
277	B771_phase1_wave1	frontier/B771_phase1_wave1/FINDINGS_WAVE2.md:24 (W2-270 row)	LEAD	CONSISTENT	the prose-verdict defect (RESOLVED-A/B only) restated by B796's rulebook; unrelated hits	"compute.py's verdict branch can only emit RESOLVED-A/B — ""UNRESOLVED"" appears nowhere — and the run never reached depths 9–11. The reported UNRESOLVED was the agent's prose, not the script's output."
278	B771_phase1_wave1	frontier/B771_phase1_wave1/FINDINGS_WAVE3.md:24 (W3-270r row)	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	output truncated at depth 9 again; never reached 10–11; no results.json — the SAME Wave-2 defect.
279	B771_phase1_wave1	frontier/B771_phase1_wave1/FINDINGS_WAVE3.md:26 (W3-150r row)	LEAD	NOISE		compute.py has no VERDICT logic — RESOLVED-A is agent prose, not script output.
282	B771_phase1_wave1	frontier/B771_phase1_wave1/FINDINGS_WAVE4.md:20 (W4-115 row)	LEAD	CONSISTENT	no cover-torsion/charge-tower law; CL-W4115 re-checks the wall	no law relates cover-torsion to charge tower e_n at trace level (n=5 hit isolated).
283	B771_phase1_wave1	frontier/B771_phase1_wave1/FINDINGS_WAVE4.md:28 (W4-139 row)	LEAD	NOISE		"the ""genus ≥ 1"" lower bound is asserted in prose, never computed (needs the birational Fxz→G step)."
284	B771_phase1_wave1	frontier/B771_phase1_wave1/cells/OI-148/output.txt:7	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	e3's exact closed form remains UNRESOLVED -- that is OI-031's question, not this cell's; this cell's verdict does not depend on it.
287	B772_negatives_adequacy	frontier/B772_negatives_adequacy/FINDINGS.md:15-16	LEAD	NOISE		No negative in the corpus has ever computed a chord-level analog of its own target and found THAT also empty.
290	B773_chord_recompute	frontier/B773_chord_recompute/FINDINGS.md:49-51 (W3-067c entry)	LEAD	NOISE		the certification covers only tr(a), not the full trace field ⟨tr a, tr b, tr ab⟩ the cell's own docstring names
291	B773_chord_recompute	frontier/B772_negatives_adequacy/audit_results.json:89 (W3-067 rationale, carried into B773's prereg for W3-067c)	LEAD	CONSISTENT	no exact Groebner certification in repo; R33/R35 supply a PARI certification (not Sage)	No exact Sage/Groebner trace-field certification was run as a cross-check.
292	B775_phase2_wave1	FINDINGS_WAVE3.md:15 (P2W3-H4)	LEAD	NOISE		there is no object-native reason the figure-eight is uniquely minimal along arithmeticity — that is Reid's separate deep theorem
294	B775_phase2_wave1	FINDINGS_WAVE2.md:14 (P2W2-DARKBRIGHT)	LEAD	NOISE		a verified EFFECTIVE bright/dark test exists, but no closed-form seed criterion
295	B775_phase2_wave1	FINDINGS.md:16 (P2-D5)	LEAD	NOISE		the courier's T4 item is not a property of THIS object
296	B775_phase2_wave1	cells/P2-AABB/output.txt:35-36	LEAD	NOISE	own cell	NO native involution -- a<->b is not a sigma-automorphism ... the case bit {a,A} is imported (not in sigma's alphabet)
298	B775_phase2_wave1	FINDINGS_WAVE4.md:29	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	Every terminal state represented; no forced positives survived.
299	B775_braver_questions	FINDINGS_FINAL.md line 45, re: the theta-vacancy slot	LEAD	NOISE		No known candidate fills them.
300	B775_braver_questions	FINDINGS_FINAL.md line 13	LEAD	NOISE		No competing framework (IIT, GNW, ORCh-OR, HOT) subjects itself to this discipline.
301	B775_braver_questions	FINDINGS_FINAL.md line 45	LEAD	NOISE		None of the three triadic T1 candidates (vedanā, Peirce, Husserl) cleanly match the S₃ generator-pair structure.
303	B775_braver_questions	FINDINGS_PARALLEL.md line 22, re: the enumeration survivor count	UNSWEEPABLE	CONSISTENT	self-scoped	The computation has not been run.
304	B776_b685_homework	FINDINGS.md line 20	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	For the FIRST TIME in-repo, Φ(h)Φ(−h) was reconstructed FROM FIRST PRINCIPLES (not cited)
308	B777_braver_questions	CC_VERIFY_V4GENERICITY.md line 30	LEAD	NOISE		V4 + volume does NOT separate the figure-eight from its sister.
309	B778_cleanup	frontier/B778_cleanup/PREREGISTRATION.md:43-44 (also cells/CL-W3082/output.txt:41-45)	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the arithmetic-CS bridge to Kim's H^3 action is uncomputed, self-flagged NEEDS-SPECIALIST in LAW_MAP
310	B778_cleanup	frontier/B778_cleanup/cells/CL-W4115/compute.py:8-9	LEAD	CONSISTENT	self-correction ('adjoint 7,815' stripped)	'adjoint 7,815' is NOT reproduced by any natural content of the essential adjoint t^2-5t+1 ... FABRICATED -> stripped.
311	B778_cleanup	frontier/B778_cleanup/FINDINGS.md:21-24	LEAD	CONTRADICTED	B778_cleanup's own FINDINGS l.21-24 lists CL-W4115 and CL-LATIN under 'Pending the next pass — Never ran', but frontier/B778_cleanup/cells/CL-W4115/ holds a completed run (compute.py, output.txt, results.json: chord '1,5,19,71' REAL True, wall re-verified as field-disjointness). The FINDINGS was not updated after the cell ran; test_b778_cleanup locks the FINDINGS text	"CL-W4115: strip the fabricated ""adjoint 7,815..."" string ... Never ran. / CL-LATIN ... Never ran."
312	B779_convergence_probe	frontier/B779_convergence_probe/R3_scattering_assessment.md:89 (quoting B735)	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	Sage/Hejhal-class machinery unavailable.
314	B779_convergence_probe	frontier/B779_convergence_probe/R6_maass_assessment.py:106-108	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	For weight-0 Maass forms (the target): ... No implementation exists in this repo.
316	B779_convergence_probe	frontier/B779_convergence_probe/R7_functor_assessment.md:61	UNSWEEPABLE	CONSISTENT		No THEOREM connecting them
319	B783_observer_ground_zero	B3_c_test.txt:122	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	THE RESOLUTION: c HAS NO WORD-LEVEL COUNTERPART
320	B783_observer_ground_zero	B3_c_test.txt:186	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	The honest conclusion: c has NO word-level pointer counterpart.
321	B783_observer_ground_zero	FINDINGS.md:39	LEAD	NOISE		c has NO word-level counterpart
323	B783_observer_ground_zero	C1_synthesis.txt:22-23	LEAD	NOISE		"P16.3 (level distinction = c): REFUTED. No formal Z/2 involution definition exists for ""level distinction."""
324	B783_observer_ground_zero	C2_adversarial.txt:192	UNSWEEPABLE	CONSISTENT	same as #405/#406	For level = c: B3 shows NO structural content. Not even a definition exists.
325	B783_observer_ground_zero	C2_adversarial.txt:46-48	LEAD	NOISE		No permutation works because: ... c cannot appear at the word level in ANY slot (B749 F8).
328	B784_trace_map_intertwining	FINDINGS.md:67 (section '4. P784.5 FAIL: no √3 in the C decomposition')	UNSWEEPABLE	CONSISTENT		Neither is √3.
329	B784_trace_map_intertwining	FINDINGS.md:167	LEAD	CONSISTENT	no intertwining S at generic SL(3) (nullity 0)	no such S exists (verified: nullity 0 at 5 random SL(3) trials)
330	B784_trace_map_intertwining	FINDINGS.md:353	LEAD	NOISE		No trace-map dynamics can detect either θ or ι.
331	B784_trace_map_intertwining	FINDINGS.md:328	LEAD	NOISE	B783 test outputs, not a census	No word-level operation produces a non-trivial action on traces.
332	B784_trace_map_intertwining	iota_torsor_position.txt:61	LEAD	NOISE		No inner S exists at generic SL(3): iota is OUTER on W1/W2.
333	B784_trace_map_intertwining	A3_sym2_trace_computation.txt:229 (PART 7 Schur's-lemma claim)	UNSWEEPABLE	CONSISTENT	as #415	there is NO R in SL(3) with R.Sym^2(w).R^{-1} = Sym^2(w^R) for all w
335	B785_cc3_gate_harvest	FINDINGS.md lines 25-26	LEAD	CONSISTENT	not re-run (B575 infrastructure)	not independently re-run here (requires the B575 infrastructure and ~36 s/point)
336	B785_cc3_gate_harvest	FINDINGS.md line 30	LEAD	CONSISTENT		"The b769 / C21 ""tangent frames align → chord = c⊕θ"" mechanism did NOT pass"
337	B786_torsor_theta_iota	FINDINGS.md line 8	LEAD	CONSISTENT	B786 confirms; B787 supplies iota instead	reversal is trace-trivial at every rank
338	B786_torsor_theta_iota	FINDINGS.md lines 35-36	LEAD	SUPERSEDED	B787 later makes the 4th involution (iota) UNCONDITIONAL, removing the dependence on the corrected S	its S = diag(1,−1,1) does not intertwine (I flagged it). The rank-4 claim is CONDITIONAL on cc3's corrected S
339	B787_interaction_programme	FINDINGS.md line ~57 (section 2, 'Relabeling trigger')	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	The relabeling is OWED and UNRESOLVED, not cleared and not propagated.
342	B787_interaction_programme	FINDINGS.md section 4, line ~123 — contradicts the section-3 checklist row above; file was independently verified to exist at tests/test_b787_interaction.py	LEAD	CONSISTENT	self-correction	The test-lock (tests/test_b787_interaction.py) is written.
343	B789_theta_intertwiner	FINDINGS.md, 'Method note' paragraph	LEAD	NOISE		"cc's first pass used a guessed relator (w = b^-1aba^-1) and V2 came back False. The guess was wrong... Had the guessed relator been trusted, this arc would have reported ""rho_2 does not descend"" — a fabricated negative on a load-bearing check."
344	B789_theta_intertwiner	FINDINGS.md, scoping fact 2	UNSWEEPABLE	CONSISTENT		There is no universal Q.
345	B790_maass_adjudication	FINDINGS.md verdict table, Step 1 row	LEAD	SUPERSEDED	m004 Maass eigenvalues later computed: 17 on main (B797/B795); LMFDB statement is about the literature	LMFDB has zero Laplace data for any Bianchi group; d=3 exists only at ~3 digits; m004 never computed
346	B790_maass_adjudication	FINDINGS.md section 1	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	For m004 itself: nothing. Recorded as NOT-COMPUTED, explicitly not non-existence — the discrete spectrum is provably infinite by the Weyl law.
349	B790_maass_adjudication	FINDINGS.md ADDENDUM, 'Net effect on the arc's verdict'	LEAD	CONSISTENT		"Step 3: superseded — see the separate note on the external Gates 0-9R bank. ""Blocked on data nobody has computed"" is wrong; the blocker is wall-clock and checkpointing."
352	B791_weyl_completeness	FINDINGS.md §6	LEAD	SUPERSEDED	B797 later banks 17 m004 eigenvalues on main; Gate 9's blocker statement predates it	No m004-relative eigenvalue exists in the bank: Gate 9 is blocked by its own guard (15/16 checks pass) and Gate 9R is `INTERRUPTED WITHOUT RESULT ARTIFACT`.
353	B791_weyl_completeness	PROVENANCE_ALERT.md RESOLUTION section	LEAD	CONSISTENT		The primary is still unread, and the search window was supplied by cc, so this is targeted corroboration rather than blind confirmation.
355	B792_maass_m004_eigenvalues	FINDINGS.md §'THE FULL WINDOW r<10'	LEAD	CONSISTENT	branch (B792) result; not contradicted anywhere	No exceptional eigenvalues λ < 1 anywhere in (0.8, 10).
356	B792_maass_m004_eigenvalues	FINDINGS.md §'THE FULL WINDOW r<10'	LEAD	CONSISTENT	branch result	No old (Bianchi) form in (7.3, 10) — now PROVEN at eigenspace level
358	B792_maass_m004_eigenvalues	PROGRESS_LOG.md 2026-08-01 (B845), quoted verbatim in log_index/B792.txt	LEAD	CONSISTENT	verified: B792 absent on main	B792 is NOT in main -- it is cc3's arc and cc3 never merges, so citing it as if it were here is the phantom's own class
359	B792_maass_m004_eigenvalues	docs/progress/REVIEWS.md Review 36, quoted in log_index/B792.txt	LEAD	CONSISTENT	verified	"the review seat repeated a companion number (""43 eigenvalues to r = 13.5"") that belongs to cc3's B792, which is not in main -- main has 17, to r = 9.84"
360	B793_gate8r2a_parent_localisation	FINDINGS.md 'What Gate 8R's headline actually establishes'	LEAD	CONSISTENT		The solver has never demonstrated it can find an eigenvalue whose location it was not given.
361	B793_gate8r2a_parent_localisation	FINDINGS.md 'Separate observation on the delivered archive'	LEAD	CONSISTENT		The 10 unresolved hash entries are the bank's own lock tests (`../../tests/test_b788_maass_*.py`). They are absent from the delivered zip.
363	B795_eigenvalue_verification	/tmp/claude-0/-home-user-origin-axiom/def55705-87fb-5c25-8c65-d57916765de8/scratchpad/phaseB/log_index/B795.txt line 5 (PROGRESS_LOG.md 2026-07-24)	LEAD	NOISE		Seventeen eigenvalues of m004 now exist where the literature had none, mode-count certified to 5.4e-9 and independently re-derived by cc in B795
364	B795_eigenvalue_verification	/home/user/origin-axiom/frontier/B795_eigenvalue_verification/FINDINGS.md lines 68-69	LEAD	NOISE		Also unaddressed here: the mode-count certification cc3 still owes (max |Δr| between mode counts), which sets the floor on every tolerance its SM comparison can honestly use.
366	B796_coupling_campaign	loss_audit/THE_LOSS_LEDGER.md:14-16 (L1)	LEAD	SUPERSEDED	frontier/B909_frame_arc exists on main now (R38 read it)	frontier/B909* DOES NOT EXIST (no dir, no FINDINGS, no test), while B915 (the crossing, the sealed 16sigma MISS in the README) CONSUMES the 3/8 as its boundary condition
367	B796_coupling_campaign	cell9_sec16_verdict3.md:26 (charge 6)	LEAD	SUPERSEDED	B921 harvested cell9_sec16_verdict2.md to main	"the sealed v3 cites ""Second-pass verdict: cell9_sec16_verdict2.md"" -- that file exists nowhere in the repo"
368	B796_coupling_campaign	cell9_sec16_verdict3.md:23	LEAD	CONSISTENT		"The mandated smoke test is not evidenced: cell9_shakedown_log.txt stops after ""n = 782 modes"" -- no completed end-to-end run exists on disk (C7)"
369	B796_coupling_campaign	loss_audit/THE_LOSS_LEDGER.md:58-60 (L5)	LEAD	CONSISTENT		main's SEAL_LEDGER records NONE of the four hashes (8424a335, da516046, 3ba81779, 169e9042), and B796 was never reserved
370	B796_coupling_campaign	loss_audit/THE_LOSS_LEDGER.md:63-65 (L6)	LEAD	CONSISTENT		The B796 campaign corpus -- 44 artifacts, 100% unharvested. Main advertises the campaign (CAMPAIGN_STATUS:1432) and prices its falsifier (B798) while holding none of its logic
371	B796_coupling_campaign	loss_audit/THE_LOSS_LEDGER.md:83-85 (L7, re: the Hecke-abort and spin-fork negative results)	LEAD	CONSISTENT		Zero footprint on main beyond relay paraphrase
372	B796_coupling_campaign	loss_audit/THE_LOSS_LEDGER.md:87-93 (L8)	LEAD	CONSISTENT		"certify_mode_count.py (the certification every ""certified"" claim rests on)... [is] branch-only"
373	B796_coupling_campaign	loss_audit/THE_LOSS_LEDGER.md:100-102 (L9)	LEAD	CONSISTENT		B878 banked my relay's datasets and dropped its section 4.5 open items... all now single-occurrence strings in RELAY_AS_RECEIVED.md
374	B796_coupling_campaign	loss_audit/THE_LOSS_LEDGER.md:109-110 (L10)	LEAD	CONSISTENT		THEOREM_REGISTRY/THEOREM_LEDGER carry ZERO B8xx/B9xx rows
376	B796_coupling_campaign	loss_audit/THE_LOSS_LEDGER.md:122-123 (L11)	LEAD	CONSISTENT		"B845 proved the ""finished and unshipped"" spectral paper never existed"
377	B796_coupling_campaign	charge_quantisation/FINDINGS.md:5 (self-scoping, not a repo absence claim but a disclosed structural limit)	LEAD	NOISE		No measurement enters and nothing is compared to data
378	B796_coupling_campaign	z6_line_spectrum/FINDINGS.md:114-115	LEAD	CONSISTENT	z6_lines.py restates	No monopole has been observed. None of F1-F4 is currently tested.
379	B796_coupling_campaign	z6_line_spectrum/FINDINGS.md:127-129	LEAD	CONSISTENT		the framework supplies no mass scale for these objects... no monopole mass is predicted and none can be
380	B797_maass_spectrum_harvest	FINDINGS.md:12	LEAD	NOISE		The literature has no Maass eigenvalues for m004; there are now seventeen.
381	B797_maass_spectrum_harvest	log_index/B797.txt (Review 36 entry, quoting PROGRESS_LOG.md)	LEAD	NOISE		eigenvalues_final.json carried 6 of the 17 its own table certifies
382	B799_uncomputed_doors	FINDINGS.md:93	LEAD	NOISE		The original kill_graph.json is not rewritten in place
383	B799_uncomputed_doors	FINDINGS.md:86-87 (S019 disposition)	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	no discriminating fact was ever computed because none was ever formulated
384	B800_habiro_integrality	B799 FINDINGS.md:78, referencing the door B685 that B800 addresses	LEAD	SUPERSEDED	B800 (2026-07-29) is the in-sandbox Habiro recompute B799 said was not attempted	An in-sandbox Habiro recomputation was not attempted here
385	B801_negative_census	FINDINGS.md:37	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	kill_graph's 217 is not a census -- it is roughly two-thirds of one
386	B802_cc3_b783_harvest	FINDINGS.md:19 (re: B350, B778, B780, B781 -- main is ahead in every one)	UNSWEEPABLE	CONSISTENT		Nothing to pull
390	B804_dirac_spectrum	FINDINGS.md:64	LEAD	SUPERSEDED	B1007 arb_maass and B797's harvested spectrum exist later on main	the eigenvalues need machinery that does not exist in this repository
391	B805_forcing_graph	FINDINGS.md:9	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	916 words of static prose: 15 nodes, 15 arrows, and zero edges marked PROVEN/KNOWN/OPEN. Nothing computed its closure.
393	B806_lexicon_blindness	FINDINGS.md table	LEAD	NOISE	B806's motif count; co-occurrence only	probes matching zero motifs: 19
394	B806_lexicon_blindness	FINDINGS.md:155	LEAD	CONSISTENT		Not one of the eleven faces is an atlas motif [zero overlap]
395	B806_lexicon_blindness	N/A	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	No Dirac eigenvalue [not applicable here]
397	B808_empty_cells	FINDINGS.md:39	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	There are no real gaps in the (face, motif) plane. None.
399	B810_verdict_wave1	FINDINGS.md:90	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the six non-existent IDs came from cc's transcription; the pool file on disk was correct throughout
400	B810_verdict_wave1	FINDINGS.md:53-55	LEAD	NOISE		The sample was not random...An audit that disputes nothing is the vacuity pattern this session has now flagged three times
401	B812_physics_path_map	FINDINGS.md:93	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	No path exists today, and for the majority of targets the blocker is the absent typed dictionary (L91), not a proved impossibility.
403	B813_cs_theta_type_audit	FINDINGS.md:82-83	LEAD	NOISE		the searches surfaced no work placing gauge theory on a hyperbolic 3-manifold slice in a way that ties theta to the slice's geometry
405	B815_kappa_precision_note	PRE_DATA_NOTE.md:2	LEAD	CONSISTENT	B817 carries the same refutation	written and committed while the wave-2 workflow is still running and no rating has been seen
406	B817_verdict_wave2	FINDINGS.md:106, with in-place correction '~~mostly directories without a FINDINGS.md~~ -- CORRECTED by B819'	LEAD	NOISE		130 arcs still carry no verdict [later corrected: 133 have FINDINGS.md, 116 unassigned]
408	B821_lexicon_refresh	FINDINGS.md:60	LEAD	NOISE		the real lexicon gap is one arc, not twenty-one
409	B823_blind_triage	FINDINGS.md:14	UNSWEEPABLE	NOISE		there is now NO CEILING
410	B826_b519_verdict	FINDINGS.md:8 (re B519_re_mining)	LEAD	GENERIC	428 content files ('carried verdict'); the deleted B1024 WORK_IN_PROGRESS.md is an in-progress note removed, unrelated	carried no verdict at all
411	B827_progresslog_recovery	FINDINGS.md:13	LEAD	NOISE		of those, present in the canonical log or the Q2 roll-off | 0
412	B830_b720_recompute	FINDINGS.md:22-23	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	B720's only lock asserted three string literals were distinct — it verified that three different strings had been typed
414	B837_file_drawer_audit	FINDINGS.md:24	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	"B590's citation literally reads ""(bank pending — B590 paused by owner)"" — an admission that it is unreported"
415	B837_file_drawer_audit	FINDINGS.md:36	LEAD	CONSISTENT	B499/B1047 restate; no intertwiner found later	no result for B499 is stated anywhere
416	B839_b685_residue	FINDINGS.md:60	LEAD	NOISE		B685.fact_computed stays FALSE — but its residue is now one literature line rather than a whole computation
417	B839_b685_residue	FINDINGS.md:57	LEAD	CONSISTENT	B776 restates the B575 dependency	"GSWZ eq. (2) uses this normalisation"" remains cited, not read"
418	B840_close_loose_ends	FINDINGS.md:13	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	R1 was printing SEALED at m=3 on both seeds — and the verdict was empty
419	B840_close_loose_ends	FINDINGS.md:51 (re B499)	LEAD	CONSISTENT	B499 holds only a prereg (B840 re B499); as #681	The directory holds a prereg and nothing else
420	B841_provenance_pass	FINDINGS.md:66	LEAD	NOISE		undetermined ... used zero times
422	B845_spectral_inventory	FINDINGS.md:23	LEAD	CONSISTENT		B792 is not in main. It is cc3's arc, and cc3 never merges
423	B845_spectral_inventory	FINDINGS.md:62	LEAD	CONSISTENT	harvest completeness unverified (B845 §62)	Harvest completeness UNVERIFIED
424	B848_handoff_verification	FINDINGS.md:159-162	LEAD	CONSISTENT		The observer/SSB reframe... is NOT adjudicated here
425	B848_handoff_verification	FINDINGS.md:163	LEAD	NOISE		phi_m004 = phi_orbifold was not re-derived
427	B849_order_parameter	FINDINGS.md:137	LEAD	CONSISTENT	the 370 geodesic lengths are not on main (as #509/#689); R37 computed 134/150 classes to Re l<=5 from SnapPy	the 370 geodesic lengths are not in main, the same phantom pattern as the 43 eigenvalues
428	B849_order_parameter	FINDINGS.md:110	LEAD	NOISE	BC/CMR identification not verified — later B942 falsifier cell tests it (OPEN there), no repo verification	Does not verify the Bost-Connes/CMR identification
429	B850_length_spectrum_type	FINDINGS.md:137 (carried forward item 3)	LEAD	CONSISTENT	as #427 (370 lengths not on main)	the 370 geodesic lengths are not in main, the same phantom pattern as the 43 eigenvalues
432	B851_bc_litgate	FINDINGS.md:43-44	LEAD	CONSISTENT	self-correction	the string 'complex conjugation' occurs zero times in the CMR paper
433	B852_parabolic_pressure	FINDINGS.md:92-96	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	It does NOT show m004's transition is at s=1, or at the programme's beta=1/s=2... m004's actual cross-section requires a complex continued-fraction algorithm over Z[omega]... which is a real build and is not attempted here
434	B852_parabolic_pressure	FINDINGS.md:97-100	LEAD	CONSISTENT	genericity not established either way (one parabolic model); test_b852 locks the stored fields	It does not establish genericity either way. One parabolic model was tested
435	B853_two_faces_ssb	FINDINGS.md:107-108	LEAD	NOISE		NOT verified: that B6's potential is the free energy of any KMS transition (the relay's own document says 'connection unbuilt')
436	B853_two_faces_ssb	FINDINGS.md:109-110	LEAD	NOISE		that trace 3 never occurs in Gamma_41 (searched words <=7, 82 distinct traces...) -- evidence, not proof
437	B855_wrong_null_audit	FINDINGS.md line 33	LEAD	CONSISTENT	B855's own null	the repo has no registered null non-commensurable with both.
438	B855_wrong_null_audit	FINDINGS.md line 100	LEAD	CONSISTENT		"the programme has never had a valid control, so ""generic vs specific"" has essentially never been tested."
439	B857_voice_splitting	frontier/B746_golden_ledger/FINDINGS.md:30 (quoted in FINDINGS.md line 11)	LEAD	NOISE		Grep of the banked voice artifacts (B737/B739): zero golden markers.
440	B857_voice_splitting	docs/LAW_MAP.md (quoted in FINDINGS.md line 9)	LEAD	CONSISTENT	H-EAR clause (iii) SILENCE restated in B857's own files	"H-EAR clause (iii) SILENCE states the golden is ""NEVER emitted through the object's solo continuous channel."""
441	B857_voice_splitting	FINDINGS.md line 55	LEAD	CONSISTENT	Hecke eigenvalues of the 17 forms not computed anywhere on main (as #703)	Whether the 17 certified Maass newforms carry golden markers in their Hecke eigenvalues is a different question and remains uncomputed
442	B868_three_involutions	FINDINGS.md line 29 / three_involutions.py check (3)	LEAD	CONSISTENT	no complex conjugation of scalars in the cascade code (B868's own check); B1127 later adds antilinear completion — that is a new construction, not a correction of the claim	no complex conjugation of scalars appears anywhere in the cascade's code
443	B870_lift_obstruction	FINDINGS.md sec 5	LEAD	CONSISTENT	object->observer bridge not established; later arcs (B935, B1064) restate	"The bridge from ""flat bundle on the object lifts"" to ""the SM gauge group's global form"" is the framework's object->observer bridge -- not established here"
444	B870_lift_obstruction	FINDINGS.md sec 5	UNSWEEPABLE	CONSISTENT	self-scoped (H^2(M,dM) not computed by B870); not computed elsewhere either as far as the sweep can tell (terms too short)	H^2(M, dM) is NOT computed by this arc.
445	B870_lift_obstruction	FINDINGS.md sec 5	LEAD	CONSISTENT	no distinguished torsor point claimed; B1201 restates	"No claim about which lift the object ""chooses"": the torsor has no distinguished point here."
446	B871_registering_datum	FINDINGS.md sec 4	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	realizing the probe inside the SU(3)_2 modular stage's state vectors and contractions ... is the remaining refinement
449	B872_coset_leg	FINDINGS.md sec 6	LEAD	CONSISTENT	exact-Q(rho) pass remained queued (solo seat)	the exact-Q(rho) pass remains the solo seat's queued cell
450	B872_coset_leg	FINDINGS.md sec 6	LEAD	CONSISTENT		the generations reading stays a signature (B866) with a structure (B875); THE DESCENT (B876, queued) is the deciding computation
454	B874_measurement_ladder	FINDINGS.md sec 3	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	no dictionary to color is asserted (the compact/quasi-split gap is exactly the layer-8 wall, B715/B868)
