idx	arc	where	terms	hits	top	quote
86	B143_interaction_feasibility	FINDINGS.md:25	two-seed interaction realization question	main=9,all=58	PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json	whether the two-seed interaction *has* such a realization is itself a construction question (open)
87	B145_forced_chirality	FINDINGS.md:43	amphichirality conceivable canonicity principle	main=1,all=9	f/B738_pathfinder_compiler/kill_graph.json ; documents/PROGRAM_QUESTION_ANSWER_MAP.md ; documents/program-question-map/inventory/backbone.json	not a theorem that *every* conceivable canonicity principle forces amphichirality
88	B148_kappa_fricke_metallic	FINDINGS.md:19	primary-source no-go confirmation dimensional	main=7,all=45	CHANGELOG.md ; PROGRESS_LOG.md ; docs/SEAL_LEDGER.md ; docs/STRATEGIC_SYNTHESIS.md ; docs/progress/REVIEWS.md	The dimensional argument is strong but is formally *an absence*, not a cited no-go theorem; its decisive primary-source confirmation is the OPEN reading task §4.B.
89	B148_kappa_fricke_metallic	FINDINGS.md:76	mathematics positive firewall cross	main=98,all=648	CHANGELOG.md ; CLAIMS.md ; GOVERNANCE.md ; PROGRESS_LOG.md ; README.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	even a positive result is mathematics ... It does not cross the firewall
90	B149_sl4_ideal_completeness	FINDINGS.md:4	numerically-coaxed artifact handoff premise	main=2,all=14	docs/progress/PROGRESS_2026-Q2.md ; papers/VALIDATION_LEDGER.md	the H1 handoff's 'numerically-coaxed artifact' premise does not apply
91	B153_degree_rank_degeneration	FINDINGS.md line 47	slice-piece numerical earlier tangent	main=1,all=7	papers/VALIDATION_LEDGER.md	the earlier 'numerical' slice-piece tangent 14 was wrong (exact value 10)
92	B153_degree_rank_degeneration	FINDINGS.md line 74	non-ss irreducibles simply missed	main=3,all=18	docs/progress/PROGRESS_2026-Q2.md ; papers/VALIDATION_LEDGER.md ; CHANGELOG.md	The old '0/120, no irreducibles' was simply wrong (it missed the non-ss irreducibles).
93	B156_omega_strict_full_cone	FINDINGS.md lines 104-107 (Scope section	strict-full trace-map noncommutative faithfully	main=2,all=14	CHANGELOG.md ; docs/UNIFIED_STATE.md	the two strict-full shears A=S03 and C=S23 commute ... so the map R->A, L->C cannot faithfully represent the noncommutative trace-map monodromy
94	B156_omega_strict_full_cone	FINDINGS.md line 157	semigroup relation refuted appears	main=4,all=28	docs/progress/PROGRESS_2026-Q2.md ; f/B570_allowed_plays/THE_SELECTION_RULES.md ; f/B770_closure_census/census.json ; papers/VALIDATION_LEDGER.md	U/V free semigroup | REFUTED | Relation appears at depth 7.
95	B157_metallic_exponent	FINDINGS.md line ~39	inadmissible irreducible bundle random	main=9,all=64	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/OPEN_LEADS.md	o=5,6 admit no irreducible SL(3) bundle reps (random Newton, 300–400 seeds) — inadmissible at SL(3)
96	B157_metallic_exponent	FINDINGS.md CORRECTION 2026-06-23, contr	in-environment macaulay2 installed singular	main=1,all=7	f/B198_metallic_exponent_CAS/FINDINGS.md	"needs a real CAS (Singular/Macaulay2/Sage)" ... Sage is installed in-environment
97	B162_kappa_sweep	FINDINGS.md 'Honest scope' section	ground-truth gorodetski horseshoe hermitian	main=4,all=28	f/B163_kappa_sweep_resolved/FINDINGS.md ; f/B186_hyperbolicity_certification/FINDINGS.md ; f/B186_hyperbolicity_certification/trace_map_hyperbolicity.py ; papers/VALIDATION_LEDGER.md	there is no ground-truth theorem off the real axis (the Damanik–Gorodetski horseshoe covers only the Hermitian kappa>2 regime)
98	B163_kappa_sweep_resolved	FINDINGS.md Result (3a) closing sentence	damanik-gorodetski ground-truth horseshoe hermitian	main=2,all=14	f/B186_hyperbolicity_certification/trace_map_hyperbolicity.py ; papers/VALIDATION_LEDGER.md	there is no ground-truth spectral theorem off the real axis (Damanik-Gorodetski's horseshoe covers only the Hermitian kappa>2 regime)
99	B163_kappa_sweep_resolved	FINDINGS.md 'Verify-don't-trust record (	eps-component-count known-cantor disconnectedness fraction	main=2,all=14	f/B165_kappa_cantor_offaxis/cantor_offaxis.py ; papers/VALIDATION_LEDGER.md	eps-component-count at a fixed fraction of the diameter: the known-Cantor control was FLAT ([4,4,4]) -- the bands merge at that scale, so it does not track disconnectedness
100	B165_kappa_cantor_offaxis	FINDINGS.md 'The conditional theorem' pa	damanik-gorodetski hermitian-kappa non-normal off-axis	main=1,all=7	papers/VALIDATION_LEDGER.md	no off-axis ground truth, and the transfer matrices are non-normal (spectral abscissa != top eigenvalue), so the Hermitian-kappa>2 methods (Damanik-Gorodetski) do not carry
101	B165_kappa_cantor_offaxis	FINDINGS.md 'two diagnostics that FAILED	eps-component-count known-cantor disconnectedness fraction	main=1,all=7	papers/VALIDATION_LEDGER.md	eps-component-count at a fixed fraction of the diameter: the known-Cantor control was FLAT ([4,4,4]) -- the bands merge at that scale, so it does not track disconnectedness
102	B167_conserved_no_scale_lemma	FINDINGS.md 'The door-map' table, row 3	hand-input spontaneous parameter breaking	main=1,all=7	docs/STRATEGIC_SYNTHESIS.md	no such parameter is present" (VEV/spontaneous breaking, door 3: 'blocked / hand-input -- no such parameter is present')
103	B171_heterogeneous_quasicrystal	 honesty' section	rank-3 combination refute phase	main=20,all=122	CHANGELOG.md ; PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md	This is NOT ... establish[ing] a rank-3 combination gap (that is Phase 1) and does NOT refute one (the 0.611 gap is real)
104	B193_sealing_field_scouts		needs-specialist non-metallic b193 deliberately	main=5,all=37	CHANGELOG.md ; docs/views/VERDICT_LEDGER.md ; f/B666_leads_campaign/cellT/TRIAGE_TABLE.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/B770_closure_census/census.json	"L5/L6 -- non-metallic SL(3) sealing: SCOPED NEEDS-SPECIALIST" ... "deliberately not rushed here" (frontier/B193_sealing_field_scouts/FINDINGS.md:31-36)
105	B196_entropy_conformal_dimension		needs-specialist time-monodromy s-channel b196	main=2,all=14	CHANGELOG.md ; papers/VALIDATION_LEDGER.md	"The precise PVI channel placement (is this the time-monodromy weight or the fiber s-channel in the OPT->(0,4) dictionary?) is the one open detail -- NEEDS-SPECIALIST" (frontier/B196_entropy_conformal
106	B197_figure_eight_volume_torsionfree		once-punctured-torus torsion-free same-volume m003	main=3,all=9	CHANGELOG.md ; PROGRESS_LOG.md ; docs/views/VERDICT_LEDGER.md	"the m003 same-volume manifold exists; the tie is broken only by the (motivated) torsion-free condition" -- i.e. among ALL once-punctured-torus bundles no independent overdetermination exists (frontie
107	B197_figure_eight_volume_torsionfree		b197 unavailable torsionfree selection	main=2,all=14	f/B738_pathfinder_compiler/kill_graph.json ; papers/VALIDATION_LEDGER.md	"[SnapPy unavailable -- C1/C3/C4 skipped; recorded: b++LR=4_1 vol 2.0298832128 ...]" (frontier/B197_figure_eight_volume_torsionfree/volume_selection.py:109-111)
108	B198_metallic_exponent_CAS		zeta5 b198 decomposition symbolic	main=10,all=70	CHANGELOG.md ; docs/views/VERDICT_LEDGER.md ; f/B199_metallic_exponent_law/workflow_result.json ; f/B738_pathfinder_compiler/kill_graph.json ; f/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl	"The exact symbolic proof over Q(zeta5) (primary decomposition, 25 vars) is not done -- see the residual. This is not [proved]." (frontier/B198_metallic_exponent_CAS/FINDINGS.md:44-45)
109	B198_metallic_exponent_CAS		b157 b198 mathematical obstruction	main=7,all=47	CHANGELOG.md ; docs/OPEN_LEADS.md ; docs/views/VERDICT_LEDGER.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/B770_closure_census/census.json	"'Newton fails at SL(4)/SL(5).' -- ... The mark was written without checking" describing the original B157 wall as a tooling artifact rather than a genuine mathematical obstruction (frontier/B198_meta
110	B199_metallic_exponent_law		b199 completed frontier metallic	main=13,all=88	CHANGELOG.md ; docs/OPEN_LEADS.md ; docs/progress/REVIEWS.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/B770_closure_census/census.json	"No route completed an exact proof" (frontier/B199_metallic_exponent_law/FINDINGS.md:71)
111	B199_metallic_exponent_law		zeta5 b199 degrevlex variables	main=3,all=21	CHANGELOG.md ; f/B770_closure_census/census.json ; papers/VALIDATION_LEDGER.md	"the first degrevlex Groebner basis at 25 variables ... does not terminate within 600s, over Q(zeta5) or F_p" (frontier/B199_metallic_exponent_law/FINDINGS.md:76-78)
112	B199_metallic_exponent_law		b199 frontier metallic exponent	main=20,all=142	CHANGELOG.md ; docs/LEAD_REGISTER.md ; docs/OPEN_LEADS.md ; docs/progress/REVIEWS.md ; docs/views/VERDICT_LEDGER.md	"F_p Newton has an empty basin (0 hits in 1500-4000 seeds) -> no exact F_p point could be produced" (frontier/B199_metallic_exponent_law/FINDINGS.md:83-84)
113	B201_silver_sl3_charvar		per-component figure-eight verify-don a-variety	main=5,all=35	CHANGELOG.md ; docs/OPEN_LEADS.md ; f/B199_metallic_exponent_law/workflow_result.json ; f/B738_pathfinder_compiler/kill_graph.json ; papers/VALIDATION_LEDGER.md	"Part 2 (DEFERRED, not banked): the per-component peripheral A-variety relations ... are not extracted here -- my quick peripheral pipeline failed its figure-eight M^3=L validation gate, so per verify
114	B201_silver_sl3_charvar		b201 parametrizations parameter recorded	main=3,all=21	CHANGELOG.md ; docs/OPEN_LEADS.md ; papers/VALIDATION_LEDGER.md	"The correct next step (recorded, not run here): derive explicit 2-parameter parametrizations ..." (frontier/B201_silver_sl3_charvar/FINDINGS.md:46-47)
115	B204_metallic_wrt_period		re-implementation b204 normalization unresolved	main=8,all=41	f/B771_phase1_wave1/wave1_results.json ; f/B775_phase2_wave1/wave5_results.json ; papers/VALIDATION_LEDGER.md ; CHANGELOG.md ; PROGRESS_LOG.md	"a direct numerical re-implementation of the evaluated (4.8) did NOT reproduce |Z_k| ... an unresolved convention/normalization bug" (frontier/B204_metallic_wrt_period/NOVELTY.md:88-91)
116	B204_metallic_wrt_period		highest-probability prior-art b204 retrieved	main=1,all=7	papers/VALIDATION_LEDGER.md	"Two prior-art clusters were NOT retrieved and are the highest-probability hiding places" (frontier/B204_metallic_wrt_period/NOVELTY.md:61-63)
117	B205_metallic_quantum_trace_map		already-known b205 suspected metallic	main=4,all=28	CHANGELOG.md ; docs/OPEN_LEADS.md ; f/B770_closure_census/census.json ; papers/VALIDATION_LEDGER.md	"A ... 'quantum metallic mean' ... is NOT established here and is suspected already-known (MGO)" (frontier/B205_metallic_quantum_trace_map/FINDINGS.md:35-37)
118	B206_golden_spin_cover_e8		metallic-monodromy conductor-5 prior-art b206	main=1,all=7	docs/OPEN_LEADS.md	"Novelty UNCHECKED: the golden<->E8 link is even known in physics (Coldea et al. 2010 ...) ... whether this specific metallic-monodromy -> conductor-5 -> 2I framing is recorded needs a prior-art pass 
119	B232_rho_n_plethysm	B232 FINDINGS.md, header line	reduction outcome honest proof	main=69,all=444	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	This is an honest reduction (outcome (b) of the plan), not a proof.
120	B232_rho_n_plethysm	B232 FINDINGS.md, 'Update — the in-sandb	needs-specialist stabilization terminal procesi	main=11,all=75	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; f/B738_pathfinder_compiler/kill_graph.json ; f/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl	the stabilization lemma is now terminal NEEDS-SPECIALIST (the Procesi construction)
121	B232_rho_n_plethysm	B232 FINDINGS.md, 'Verdict' section	remaining residual lemma input	main=42,all=269	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md ; DEL:docs/PROGRESS_LOG.md	the residual open lemma... is the lone remaining input
122	B233_synthesis_split_and_five	B233 FINDINGS.md, H13 'Honest status' pa	extrapolation points axis data	main=11,all=77	CLAIMS.md ; PROGRESS_LOG.md ; docs/THEOREM_REGISTRY.md ; docs/progress/PROGRESS_2026-Q2.md ; f/B470_reflection_campaign/FINDINGS.md	"every axis" is an extrapolation from 3 data points, not a theorem.
123	B236_coset_coincidence_pathA	B236 FINDINGS.md, 'Result' section, 4th 	chat1 proposition observation organizing	main=8,all=43	PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/NOVELTY_AUDIT.md ; papers/metallic_one_object/PAPER_PLAN.md ; CHANGELOG.md	The mechanism as a proposition ... is, to chat1's search, not stated — so it stands as a modest original organizing observation (not a deep theorem).
124	B240_golden_jones_integrality	B240 FINDINGS.md, 'Honest caveat' sectio	observation unverified normalized invariant	main=19,all=109	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/progress/REVIEWS.md	The observation Z = −2 = −χ(Slavich 4-manifold) is unverified: the raw sum Z is not the normalized WRT invariant, and χ appears in many formulas. HELD; not claimed.
125	B240_golden_jones_integrality	B240 FINDINGS.md, 'Verdict' paragraph	reported ceiling dropped exceed	main=9,all=57	CHANGELOG.md ; PROGRESS_LOG.md ; docs/LAW_MAP.md ; docs/SEAL_LEDGER.md ; docs/progress/REVIEWS.md	8_3 (braid index 7) and 10_3 (9) exceed the dense N=4 matrix ceiling and were not tested (reported, not dropped).
126	B252_chirality_obstruction	B252 FINDINGS.md, 'The break it test' se	complex-conjugation-odd obstruction intrinsic invariant	main=5,all=36	f/B738_pathfinder_compiler/kill_graph.json ; f/B742_negatives_hunt_p1/stageA/batch_dead_04.json ; f/B742_negatives_hunt_p1/stageA/journals/run2_wf4ac2653a_journal.jsonl ; f/B742_negatives_hunt_p1/stageA/kill_graph.json ; f/B742_ne	Nothing breaks 27↔27̄. The obstruction holds: the object has no intrinsic complex-conjugation-odd invariant.
127	B253_chirality_capability	chirality_capability.py:118 (Part B reas	vector-like dynamical chiral	main=34,all=209	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md ; DEL:docs/REVIEWS.md	there is no dynamical 27 to be chiral or vector-like
128	B259_gravity_brick_wall_map	FINDINGS.md:41	class-s uncomputed framework object	main=17,all=115	CHANGELOG.md ; PROGRESS_LOG.md ; ROADMAP.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md	the class-S 4d lift exists as a framework but is uncomputed for this object.
129	B262_t41_theory	FINDINGS.md:9 (also t41_theory.py:724-72	authority asserted through abelian	main=14,all=98	PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/SEAL_LEDGER.md ; docs/THEOREM_LEDGER.md ; docs/progress/PROGRESS_2026-Q2.md ; DEL:docs/REVIEWS.md	Through the whole arc we *asserted* "`T[4₁]` is abelian, U(1) + chirals" on DGG's authority. We never computed it.
130	B263_t41_cs_levels	B263.txt)	b263 hygiene	main=1,all=7	PROGRESS_LOG.md	B263 has no FINDINGS (hygiene)
131	B264_e6_character_variety	NOVELTY.md:88 (re: B266, filed under B26	arithmetic reference selection combining	main=9,all=57	docs/progress/PROGRESS_2026-Q2.md ; f/B571_day0_internalization/BURIED_ITEMS.json ; f/B571_day0_internalization/REPORT.md ; f/B962_vev_scout/PRIOR_ART_VEV.md ; papers/P1_value_theory/PAPER.md	Not found in any reference: the *arithmetic selection rule* combining them
132	B265_e6_integrability	FINDINGS.md:~67 (Correction section)	bracket-coupled obstruction product	main=9,all=63	docs/HINT_LEDGER.md ; f/B272_verification_and_gaps/FINDINGS.md ; f/B272_verification_and_gaps/verification_and_gaps.py ; f/B273_e6_obstruction/FINDINGS.md ; f/B273_e6_obstruction/e6_obstruction.py	for `{4,8}` the obstruction is the `e₆`-bracket-coupled cup product `H¹×H¹→H²(e₆)`, which is **not computed**.
133	B268_e6_bridge_consolidation	wall_map_v2.py:76 (SKIPPED dict, wall3_c	b252 b259 amphicheiral chirality	main=9,all=60	PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/views/VERDICT_LEDGER.md ; f/B259_gravity_brick_wall_map/FINDINGS.md ; f/B259_gravity_brick_wall_map/gravity_brick.py	SSB of the amphicheiral `τ` as a chirality source | B252/B259 | never computed.
134	B270_integrability_cup_product	FINDINGS.md (Honest scope) — same senten	bracket-coupled obstruction product	main=10,all=70	docs/HINT_LEDGER.md ; f/B265_e6_integrability/FINDINGS.md ; f/B272_verification_and_gaps/FINDINGS.md ; f/B272_verification_and_gaps/verification_and_gaps.py ; f/B273_e6_obstruction/FINDINGS.md	for `{4,8}` the obstruction is the `e₆`-bracket-coupled cup product `H¹×H¹→H²(e₆)`, which is **not computed**
135	B272_verification_and_gaps	verification_and_gaps.py:1046-1049 (GAPS	hypercharge unaddressed breaking disposal	main=1,all=7	f/B278_consolidation_v3/wall_map_v3.py	SM matter content / E6->SM breaking... Disposal of exotics, hypercharge, the breaking chain: unaddressed and absent from the map.
136	B281_crux_scoping		in-sandbox tool-gated recommendation constructively	main=4,all=24	docs/progress/PROGRESS_2026-Q2.md ; f/B770_closure_census/census.json ; papers/VALIDATION_LEDGER.md ; PROGRESS_LOG.md	FINDINGS.md 'Recommendation': 'Do not spend in-sandbox cycles attempting T[4_1; E6] (tool-gated, not constructively known).'
137	B289_cp_sign_law		b855 m136 m135 m003	main=12,all=83	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/views/VERDICT_LEDGER.md ; f/B855_wrong_null_audit/FINDINGS.md	B855 log entry: the m136/m135/m003 extensions of the CS sign law are explicitly flagged 'NOT verified in this arc (queued for independent recomputation)' — an absence claim about downstream extensions
138	B296_seam_arc_verification	NOVELTY.md line 18-19	conservatively literature flagged pending	main=1,all=7	docs/dossiers/S6_theorem_inventory_cc2.md	the audit found no direct prior art this pass, so they are flagged conservatively (a fuller literature round is pending)
139	B296_seam_arc_verification	NOVELTY.md line 28-29	connections locate audit prior	main=14,all=98	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/STRATEGIC_SYNTHESIS.md	the audit ... could not locate direct prior art for the three novel connections (3, 4b, 5)
140	B298_generation_obstruction	FINDINGS.md lines 19-22	multiplicity everywhere appears number	main=26,all=174	CHANGELOG.md ; PROGRESS_LOG.md ; REPRODUCIBILITY.md ; TERMINOLOGY.md ; docs/CAMPAIGN_STATUS.md	the number 3 appears everywhere as a value ... but never as a matter multiplicity
141	B298_generation_obstruction	 verdict.py print statement	figure-eight generations force	main=94,all=652	CHANGELOG.md ; PROGRESS_LOG.md ; ROADMAP.md ; docs/CAMPAIGN_STATUS.md ; docs/CLOSURE_2026-07-11.md ; DEL:docs/REVIEWS.md	the figure-eight does NOT force three generations
142	B299_trinification_triality	FINDINGS.md lines 20-21	phi-eigenvalue per-weight weights freely	main=2,all=15	f/B738_pathfinder_compiler/kill_graph.json ; f/B742_negatives_hunt_p1/stageA/batch_dead_05.json ; docs/REVIVABLE.md	phi acts freely (no fixed weights), so there is NO per-weight phi-eigenvalue to grade the 27
143	B300_cross_chat_sm_attempt	FINDINGS.md line 45 (bolded)	forcing found	main=191,all=1203	CHANGELOG.md ; PROGRESS_LOG.md ; ROADMAP.md ; TERMINOLOGY.md ; docs/BANKING_PROTOCOL.md ; DEL:docs/REVIEWS.md	No new forcing was found.
144	B302_multiplicity_hidden_z3	multiplicity_hidden_z3.py lines 9-10; FI	torsion-free order-3 m004 object	main=23,all=148	CHANGELOG.md ; PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/OPEN_LEADS.md ; docs/progress/PROGRESS_2026-Q2.md	the OBJECT has no order-3: Sym(m004) = D4 (order 8), and the knot group is TORSION-FREE
145	B307_totally_real_obstruction	FINDINGS.md line 16 (the theorem)	cyclic-cubic hyperbolic trace field	main=21,all=150	CLAIMS.md ; PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/views/VERDICT_LEDGER.md ; f/B719_scale_multiplicity/b719_control.py	No hyperbolic knot can have a cyclic-cubic (C₃) trace field.
146	B307_totally_real_obstruction	FINDINGS.md line 22 (census)	cyclic zero	main=278,all=1915	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; ROADMAP.md ; docs/CAMPAIGN_STATUS.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	zero are cyclic (C₃)
147	B308_yukawa_last_redoubt	FINDINGS.md line 39	dimensionless hierarchy firewall deepest	main=18,all=125	CHANGELOG.md ; PROGRESS_LOG.md ; ROADMAP.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md	the deepest dimensionless content — the flavor hierarchy — is the firewall's last redoubt
148	B310_cascade_realization_exhausted	cascade_realization_exhausted.py line 31	object-specific beyond omega	main=29,all=171	CHANGELOG.md ; PROGRESS_LOG.md ; docs/LAW_MAP.md ; docs/views/VERDICT_LEDGER.md ; f/B272_verification_and_gaps/verification_and_gaps.py	no new object-specific content beyond the banked omega
149	B313_fibonacci_bridge_and_no_forced_choice	FINDINGS.md line 40	figure-eight forced strict false	main=87,all=568	CHANGELOG.md ; CLAIMS.md ; GOVERNANCE.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; DEL:docs/PROGRESS_LOG.md	'the figure-eight is forced' is FALSE in the strict sense
150	B313_fibonacci_bridge_and_no_forced_choice	fibonacci_bridge_and_no_forced_choice.py	parametrizes single moduli choose	main=14,all=98	CHANGELOG.md ; docs/progress/PROGRESS_2026-Q2.md ; f/B130_no_forced_choice/FINDINGS.md ; f/B130_no_forced_choice/probe.py ; f/B131_two_seed_fork/FINDINGS.md	a SINGLE seed is a moduli space ... it parametrizes, it does not choose
151	B315_e7_exclusion_vs_heterotic	FINDINGS.md line 25	congruence quotient	main=152,all=1048	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/CROSS_SESSION_2026-06-11_disposition.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md ; DEL:tests/test_b731_noncongruence.py	48 ≠ p(p²−1), no congruence quotient 2O ↔ SL(2,q)
152	B315_e7_exclusion_vs_heterotic	FINDINGS.md lines 26-27	figure-eight appears silver bundle	main=57,all=392	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; TERMINOLOGY.md ; docs/CAMPAIGN_STATUS.md ; DEL:docs/REVIEWS.md	disc 8 needs even trace... it appears only at the silver bundle m=2, not the figure-eight
153	B316_sqrt7_chirality_field	FINDINGS.md lines 4-6 (quoting the earli	figure-eight metallic appear covers	main=51,all=331	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; docs/CLOSURE_2026-07-05.md ; docs/HINT_LEDGER.md ; DEL:docs/REVIEWS.md	ℚ(√−7) does not appear in the figure-eight's covers (≤deg 6, all keep ℚ(√−3)) or the metallic ladder
154	B754_p2_spectral	output.txt line 115: 'the census does no	census record	main=425,all=2647	AUDIT_REPORT.md ; CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; PROVENANCE.md ; DEL:docs/REVIEWS.md ; DEL:docs/PROGRESS_LOG.md	the census does not exist in the banked record.
155	B754_p2_spectral	output.txt:74	comparator evaluated appears frozen	main=4,all=25	PROGRESS_LOG.md ; f/B653_phase_c_probe/COMPARISON_DESIGN_C2.md ; CHANGELOG.md ; docs/views/VERDICT_LEDGER.md ; docs/RELAY_LEDGER.md	token 'RRL|RLL' appears NOWHERE in the four frozen arcs (0 hits) -- no arc ever evaluated the weld at any comparator word
156	B754_p2_spectral	output.txt:75	appears touched frozen finite	main=33,all=240	CHANGELOG.md ; CLAIMS.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; DEL:docs/REVIEWS.md	token '2880' appears NOWHERE in the four frozen arcs (0 hits) -- no arc ever touched the finite 2880 image at all
157	B754_p2_spectral	output.txt:114-117 (FALSIFIER paragraph,	mathematics connecting hyperbolic manifolds	main=18,all=106	CHANGELOG.md ; PROGRESS_LOG.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/views/VERDICT_LEDGER.md ; f/B659_novelty_dossier/SWEEP_RESULTS.md	No such theorem connecting Pisot numbers of coupling matrices to spectral data of hyperbolic 3-manifolds exists in the banked surface or in known mathematics.
158	B754_p2_spectral	output.txt:94-96	n-indexed emittance laplacian spectrum	main=1,all=6	PROGRESS_LOG.md	R_cont(n) for n=2..6 : [no n-indexed object exists on the frozen surface -- the banked emittance face is the SL(2) Laplacian only; the SL(n) tower has no banked emittance spectrum]
159	B754_p2_spectral	output.txt:85-86 and skeptic.txt:65-68 (	continuous parameter connects channel	main=11,all=76	PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/HINT_LEDGER.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md	no banked bridge connects the CS level k to it (i.e., no bridge from the CS level k to a parameter moving the continuous channel exists in the frozen surface)
160	B755_carried_recomputes	FINDINGS.md:11	missing twister module time	main=15,all=105	PROGRESS_LOG.md ; docs/HINT_LEDGER.md ; docs/OPEN_LEADS.md ; docs/progress/PROGRESS_2026-Q2.md ; docs/views/VERDICT_LEDGER.md ; DEL:docs/PROGRESS_LOG.md	The missing module at bank time (twister) is present in the current env.
161	B755_carried_recomputes	PREREGISTRATION.md:17	in-repo chat-1 preregistered condition	main=11,all=76	CHANGELOG.md ; PROGRESS_LOG.md ; docs/CAMPAIGN_STATUS.md ; docs/progress/REVIEWS.md ; docs/views/VERDICT_LEDGER.md ; DEL:docs/REVIEWS.md	the sweep's condition: the chat-1 set is not in-repo, so the set must be preregistered
162	B755_carried_recomputes	FINDINGS.md:34-36	re-read inconsistency extraction internal	main=5,all=35	CHANGELOG.md ; PROGRESS_LOG.md ; docs/progress/REVIEWS.md ; f/B738_pathfinder_compiler/FACT_COMPUTED_SWEEP.md ; f/B772_negatives_adequacy/audit_results.json	The source (arXiv:2412.04241...) was re-read directly; the re-read RESOLVED the banked extraction's internal inconsistency
163	B755_carried_recomputes	FINDINGS.md:70-71	resonances tombstone citation archive	main=10,all=70	CHANGELOG.md ; PROGRESS_LOG.md ; docs/OPEN_LEADS.md ; docs/progress/PROGRESS_2026-Q2.md ; f/B738_pathfinder_compiler/FACT_COMPUTED_SWEEP.md	The tombstone's kill citation was BROKEN (archive/PHYSICS_RESONANCES.md has no Fisher content)
164	B756_remaining_doors	FINDINGS.md:25-26	level-15 mod-5 generating synthesis	main=10,all=60	CHANGELOG.md ; PROGRESS_LOG.md ; docs/LAW_MAP.md ; docs/OPEN_LEADS.md ; docs/views/VERDICT_LEDGER.md	cc2's Register framing was wrong (owned in their synthesis: the generating function is mod-5, not level-15 — Register erratum theirs)
165	B756_remaining_doors	PREREG_REMAINING_DOORS.md:8 (describing 	grep-verified b739 b754 absent	main=5,all=32	CHANGELOG.md ; PROGRESS_LOG.md ; f/B754_p2_spectral/cells/TOMB-L57/compute.py ; f/B770_closure_census/census.json ; f/B1068_descent_inventory/w2_full_results.json	grep-verified absent from B739–B754
166	B763_branch_reconciliation	FINDINGS.md:43	gate-arrivals conclusions structural invisible	main=1,all=7	PROGRESS_LOG.md	the priors were ON MAIN. The exposure was real but structural: this seat reads main + gate-arrivals only, so an unmerged branch carrying unbanked conclusions WOULD have been invisible
