arc	source	kind	reproducible_from_committed	what	where	why
B196_entropy_conformal_dimension	main	COMPUTED	yes	C1 exact bridge identities lam+1/lam=sqrt(m^2+4), lam^2+1/lam^2=m^2+2	entropy_dimension.py L44-50	sympy simplify() to exact zero, deterministic symbolic algebra
B196_entropy_conformal_dimension	main	COMPUTED	yes	C2 Delta=-(h/2pi)^2 verified m=1..4 to 1e-30	entropy_dimension.py L55-67	mpmath dps=40 numerical check with explicit residual tolerance, deterministic
B197_figure_eight_volume_torsionfree	main	COMPUTED	yes	C2 combinatorial min: LR unique min-trace(=3) among 2587 b++ necklaces to length 14	volume_selection.py L49-73	pure numpy/itertools enumeration, deterministic, no external dependency
B197_figure_eight_volume_torsionfree	main	COMPUTED	unknown	C1/C3/C4 volumes, homology, Chern-Simons via SnapPy (b++LR=m004, m003 torsion tie, chiral CS=+-1/48)	volume_selection.py L75-111	gated on SnapPy being importable (`HAVE_SNAPPY`); if SnapPy is unavailable the script only prints recorded constants and skips the actual computation -- a stranger without SnapPy installed cannot independently verify C1/C3/C4, only C2
B198_metallic_exponent_CAS	main	COMPUTED	yes	SL(5) o=5 m=1: k=2, s=+1, certified to ~23 digits (mp_certificate.py, dps=60)	mp_certificate.py + cert_sl5o5_rep.json	the committed cert_sl5o5_rep.json is a ~40-digit-precision numeric representation used directly by tests; mp_certificate.py independently re-derives it via damped Gauss-Newton with printed convergence trace
B198_metallic_exponent_CAS	main	COMPUTED	unknown	SL3 o3->k=4, o4->k=3 exact over Q(zeta_o)	sage_groebner.py L59-73	requires sage-python (not the pyenv runner) to execute; the FINDINGS explicitly flags this as a separate tooling requirement, but the ideal/Groebner computation itself is exact and deterministic once Sage is available
B198_metallic_exponent_CAS	main	COMPUTED	yes	Scope correction: [A,B]=mu^2 holds only on ~1% sublocus, not '305/305 unanimous' as originally claimed	frontier/B198_metallic_exponent_CAS/FINDINGS.md:46-55	correction is cross-referenced to and confirmed by the companion arc B199's independent grid; the original unanimity claim is documented as a filter artifact
B199_metallic_exponent_law	main	COMPUTED	yes	o=4/o=8 collision: both give k=3 at m=1 on the mu-infinite stratum, killing every k(o,m)/gcd-rule	grid_summary.json entries m1_o4_n3 (clean_frac 100%), m1_o8_n4 (clean_frac 46%)	grid_summary.json is a committed data witness produced by grid_driver.py + geom_grid.py, both committed and runnable
B199_metallic_exponent_law	main	COMPUTED	yes	Sublocus genuineness check: 59/60 loxodromic reps are NOT clean (O(1) exponent error), confirming the ~1% clean fraction is real structure not numerical noise	sublocus_genuine.py (full file)	self-contained script with fixed RNG seed(0), deterministic thresholded classification, prints the diagnostic ratio directly
B199_metallic_exponent_law	main	ASSERTED	no	SL(5) exact-symbolic proof exhausted across 4 routes (R1-R4), all wall out at named computational limits (600s Groebner cap etc.)	workflow_result.json (multi-agent workflow output, 769 lines)	the negative-exhaustion claims (Groebner non-termination, empty F_p Newton basin) are reported inside a large workflow_result.json produced by a 113-agent, ~4.5M-token workflow run; the underlying failed computations (e.g. Singular GB attempts that timed out) are not independently re-runnable from the repo as committed scripts -- only the consolidated JSON summary is committed, not raw logs of the failed attempts
B200_chat1_handoff_verification	main	COMPUTED	yes	R2: on-site preserves Sturmian complexity (p=L+1); NN (d=1) breaks it at p(4)=6	sturmian_interaction.py L18-51	pure combinatorial complexity-counting on an explicit Fibonacci word, deterministic asserts
B200_chat1_handoff_verification	main	COMPUTED	yes	R1 refutation: 2-body Hubbard ED shows t_eff formula out of regime at U=t (RMS=3.77, no band gap)	sturmian_interaction.py L60-100	explicit N=13 exact-diagonalization numpy code with asserted thresholds
B200_chat1_handoff_verification	main	COMPUTED	yes	R3: independent level-spacing check does not reproduce the handoff's Poisson signature (got 0.64 not 0.386)	sturmian_interaction.py L104-131	report-only, no pass/fail gate, but numbers printed directly from a deterministic ED computation
B201_silver_sl3_charvar	main	COMPUTED	unknown	Fix(T_1^2) reproduces B71's 3 components (validation); Fix(T_2^2) gives 4 components incl. new comp3	charvar.sage (full file)	requires sage-python to run (Sage's PolynomialRing/ideal/minimal_associated_primes); the exact Groebner decomposition is deterministic once Sage is available, but no committed data witness (e.g. a saved ideal dump) exists independent of re-running Sage
B202_silver_avariety	main	COMPUTED	yes	Gate: method recovers figure-eight W1->k=3, W2->k=-3, V0 no tidy form (validates the matexp method)	avariety.py L44-54	the figure-eight_W1 reps used for the gate are dumped to reps.json and re-checked deterministically in the pyenv test
B202_silver_avariety	main	COMPUTED	yes	All 4 silver components: correct commuting meridian but matexp score O(1) (never <1e-6), no tidy relation	avariety.py L55-72; reps.json (silver entries)	reps.json ships 3 silver reps used directly by the pyenv test; the sampling procedure (Sage variety(QQbar) on random affine slices) is itself only Sage-reproducible, but the shipped reps are a fixed committed witness
B203_silver_components_classified	main	COMPUTED	yes	All 4 components: Burnside dim 9 (irreducible), order(A)/order(B)/order(mu) all infinite	classify.py (full file); comps.json	comps.json ships one (A,B) rep per component used by the pyenv test; the classification (Burnside closure rank, eigenvalue-order search) is a small deterministic numpy computation
B204_metallic_wrt_period	main	COMPUTED	yes	Exact period P=lcm(a,b)(4+ab)/gcd(4+ab,4), proved via Gauss-sum reciprocity (diagonal + cross terms)	gauss_proof.py (full file), PROOF.md	gauss_proof.py verifies every step as an exact identity (mpmath, dps=30) plus an exact integer-arithmetic closing lemma over a,b in 1..14, self-contained and deterministic, prints ALL CHECKS PASS
B204_metallic_wrt_period	main	COMPUTED	yes	Numerical predict-then-confirm on 21 (a,b) cells + 12 metallic m, held-out cells all fundamental	period_law.py (full file)	pure numpy, deterministic, self-check between two independent code paths (sum form vs explicit matrix form) agreeing to 1e-9
B205_metallic_quantum_trace_map	main	COMPUTED	yes	Omega central element commutes with X,Y,Z; classical limit reproduces Fricke commutator	quantum_trace_map.py L94-97, L141-160	pure sympy symbolic computation with is_zero() checks on the sympy-simplified commutators, deterministic
B205_metallic_quantum_trace_map	main	COMPUTED	yes	R_q, L_q are genuine automorphisms (re-audited: negative controls X->2X, Y<->Z, X->X+Y correctly fail)	quantum_trace_map.py L130-138	the FINDINGS/code comment explicitly documents an earlier bug (vacuous relation check) caught and fixed on re-audit, with the fix verified against negative controls
B206_golden_spin_cover_e8	main	COMPUTED	yes	SL(2,F5) order 120, center order 2, 9 conjugacy classes; PSL(2,F5)=A5 order 60, 5 conjugacy classes	golden_spin_cover.py L91-133	brute-force enumeration of SL(2,F5) elements and conjugacy classes, self-contained pure-Python, asserted directly in-script
B206_golden_spin_cover_e8	main	COMPUTED	yes	Monodromy generators <R,L> surject onto all of SL(2,F5) (BFS closure order 120), vs a single element RL giving only cyclic order 10	golden_spin_cover.py L70-82, L106-108	explicit BFS closure computation over the finite group, deterministic
B206_golden_spin_cover_e8	main	ASSERTED	unknown	9 vs 5 irreps / affine E8 marks / sum-of-squares 120 and 60	golden_spin_cover.py L86-89	the irrep dimension lists (DIMS_2I, DIMS_A5) are hardcoded as 'known McKay data' rather than computed from the group in-script; only the sum-of-squares identity (= group order) is checked against them, which is consistent with but does not independently derive the specific dimension multiset from first principles in this script
B207_golden_breaking_and_scale	main	COMPUTED	yes	E8/E6/E7 never both occur across metallic family (arithmetic obstruction, 3 never divides m^2+4)	family_shadows.py assert lines	pure integer/finite-group code, asserts run at module level, no external deps
B207_golden_breaking_and_scale	main	COMPUTED	yes	2I order 120, RL order 10, normalizer order 20 (2D5), 2I contains 2T not 2O	golden_breaking.py	brute-force finite group computation over F5, asserted in __main__
B207_golden_breaking_and_scale	main	COMPUTED	yes	metallic bundle volumes bounded, golden=2v_tet, silver=v_oct, Aitken limit ~2v_oct	scale_volume.py using snappy	requires SnapPy dependency (not stdlib) but code and construction are committed and deterministic (canonical triangulation per Review-17 de-flake)
B208_period_congruence_unification	main	COMPUTED	yes	squarefree(m^2+4) always divides WRT period P(m); proof given for odd/even m cases; code asserts m=1..200 (FINDINGS claims re-audit to 300,000)	period_congruence.py assert line (checks up to 200 in committed code; text claims an independent re-audit to 300,000 was done elsewhere)	committed code checks 200; the 300,000-case re-audit claimed in FINDINGS.md is not in this committed file, so that broader claim is not independently reproducible from what's here
B209_ktheory_classical_quantum_boundary	main	COMPUTED	yes	chi_{Lambda*(R^6)} on A5 classes = (64,0,4,4,4); decomposition mult 4 for every irrep	lambda_decomposition.py, asserted in __main__	pure character-theory computation from explicit character table, deterministic, asserted
B210_dual_mckay_hyperbolic	main	IMPORTED	unknown	hyperbolic invariant trace fields: golden(m004)=Q(sqrt-3), silver(m136)=Q(i), bronze(s464) deg 8, m=4(t03910) deg 4	verify_trace_fields.sage.py (Sage-gated, not run in pyenv test suite); the values are hardcoded as recorded constants HYP_TRACE_FIELDS in dual_mckay.py	the sage-python verifier script exists and is in principle runnable, but requires Sage/SnapPy which is not confirmed present in the standard CI; the load-bearing dual_mckay.py treats these field identifications as RECORDED data rather than recomputing them at runtime
B210_dual_mckay_hyperbolic	main	COMPUTED	yes	figure-eight holonomy mod (sqrt-3) surjects onto SL(2,F3)=2T, order 24	dual_mckay.py figure_eight_mod3_image(), asserted	pure modular-arithmetic closure computation, no external deps
B210_dual_mckay_hyperbolic	main	COMPUTED	yes	WRT modular-rep image at golden level (SU(2)_3) has order 2880, not 120=|2I|	dual_mckay.py wrt_image_order_su2_3(), asserted	explicit numpy S,T matrix group closure, asserted == 2880
B211_metallic_arithmetic_geometric_faces	main	COMPUTED	yes	L34: figure-eight character variety Phi(x,z)=z^2-(x^2+1)z+(2x^2-1) derived from Riley parametrization, verified at complete structure (x=2 gives u^2+u+1=0), point-counted exactly matching p-1-a_p(40a1) for 23 primes p<=97	charvar_zeta.py, symbolic derivation + brute-force point count + assert	pure sympy symbolic algebra + brute-force finite-field point counting, all in pyenv, asserted
B211_metallic_arithmetic_geometric_faces	main	IMPORTED	unknown	L31: metallic bundle volumes are Dehn fillings of Borromean rings complement (drilling short geodesics at m=8,10 returns 6^3_2, vol=2*v_oct)	geometric_limit_sage.py -- values are RECORDED constants (L31_DRILL dict), the live recompute path (_recompute()) requires SnapPy/sage-python and is not exercised by default	the drilling computation itself is committed as code but the reported numbers are hardcoded as recorded results from a prior sage-python run, not recomputed when the module is imported without SnapPy
B211_metallic_arithmetic_geometric_faces	main	IMPORTED	unknown	L32: every metallic bundle m=1..6 is amphichiral (CS=0)	geometric_limit_sage.py L32_CS dict, same recorded-not-recomputed status	same as above: Sage/SnapPy-gated, recorded values only
B211_metallic_arithmetic_geometric_faces	main	COMPUTED	yes	L33: WRT period is 4x the Pisano period of the metallic Fibonacci recurrence, verified m=1..12	metallic_numbertheory.py, asserted via print+manual check loop (implicit assert via 'OK'/'FAIL' tags, no hard assert statement)	pure integer arithmetic, pyenv, no deps
B212_silver_congruence_holonomy_shadow	main	COMPUTED	yes	R^mL^m == I (mod p) for prime p|m^2+4 iff p=2 and m even; proof + verified m=1..12 (code loop asserts for m=1..12, all primes dividing N)	shadow_core.py, hard assert inside __main__ loop	pure modular arithmetic, asserted
B212_silver_congruence_holonomy_shadow	main	IMPORTED	unknown	silver holonomy square-traces (tr(a^2)=2i etc.) all vanish mod (1+i), no order-3 element	shadow_holonomy_sage.py -- values RECORDED as constants (SILVER_SQUARE_TRACES), the _recompute() function needs snappy/snap and is not run by default	Sage/SnapPy-gated; not exercised in a plain pyenv run
B213_higgs_side_periods	main	IMPORTED	unknown	E=40a1 elliptic curve data: conductor 40, rank 0, torsion 4, non-CM, real period Omega=1.48441..., L(E,1)=0.74228..., L/Omega=1/2 exactly	higgs_periods.py E40A1 dict -- RECORDED sage-python output, the _recompute() function needs sage.all and is not run by default	Sage-gated computation; recorded as a hardcoded dict, not recomputed under plain python
B213_higgs_side_periods	main	IMPORTED	unknown	null test: L(E,1)/Omega=1/2 is not anomalous -- every rank-0 curve tested gives a simple BSD rational (11a1->1/5 etc.)	higgs_periods.py NULL_L_OVER_OMEGA dict, again RECORDED sage-python output	same Sage-gating; the pyenv path only checks these recorded numbers are 'simple rationals' via is_simple_rational(), it does not independently recompute L(E,1)/Omega for each curve
B214_general_word_period_law	main	COMPUTED	yes	P(gamma)=lcm(det(gamma-I),det(gamma+I)) on the principal class, verified on multiple sample words	period_law.py part (1) printed comparison, no hard assert -- relies on eyeballed 'OK'/'split' tags in printed output	the WRT trace computation and lcm formula are both pure numpy/math, deterministic and inspectable, though the script does not assert programmatically
B214_general_word_period_law	main	COMPUTED	yes	conductor-split across conjugacy classes at f>1 (e.g. D=32,f=2 -> periods {8,4})	period_law.py part (2), printed only, no assert	deterministic computation, but again no hard assert to catch regression
B214_general_word_period_law	main	COMPUTED	yes	Funar deflation: M0 not conjugate to M1~M2 despite identical |Z|	period_law.py part(3), uses conjugate() BFS, printed not asserted	BFS conjugacy search is deterministic and bounded, reproducible
B215_class_field_period_law	main	COMPUTED	yes	closed-form P=lcm(t-2,t+2)/d_scalar exact for f in {2,3,4} (t=6,7,10,14)	period_class.py __main__, computed and tagged OK/BOUNDARY per class, no hard assert	deterministic BFS + WRT trace computation, inspectable, though again no assert statement gates the final printed 'ALL CHECKS PASS'
B216_period_law_f8_boundary	main	COMPUTED	yes	general SL(2,Z) WRT factorization validated to machine precision vs block-word ground truth	general_wrt.py part(1), printed 'ALL MATCH'/'MISMATCH' with a bad-list but no hard assert	deterministic; reproducible from committed code, minor style-only NO_TEST issue
B216_period_law_f8_boundary	main	COMPUTED	yes	the (now-retracted) 'obstruction': two non-conjugate classes with identical elementary invariants but different d (period 10 vs 20)	general_wrt.py GAMMA_A/GAMMA_B, part(2)	the underlying period/conjugacy computation is genuinely reproducible; what was wrong was the INTERPRETATION (attributing the difference to genus theory rather than the simpler content() invariant found in B219), not the numbers themselves
B217_borromean_bridge_resolved	main	COMPUTED	yes	Z_k(identity)=Z_k(T^3)=k+1 for the closed torus bundle	closed_vs_cusped.py Z_closed(), printed comparison with boolean check, no hard assert	pure numpy S,T-matrix trace computation, deterministic
B217_borromean_bridge_resolved	main	COMPUTED	yes	Kashaev volume conjecture numerically confirmed for figure-eight, converging toward Vol(4_1)=2.02988 with Ohtsuki correction	closed_vs_cusped.py kashaev_4_1()/vol_estimate(), printed values only, no assert/tolerance check	pure complex arithmetic sum, deterministic and reproducible, though FINDINGS.md's claim that this 'confirms' the volume conjecture is citing a known theorem (Kashaev/Murakami-Murakami) rather than deriving it fresh
B218_metallic_anyon_selection	main	COMPUTED	yes	lambda_m < 2 iff m=1 (golden); lambda_1 = 2cos(pi/5) exactly	jones_selection.py realizable()/is_fibonacci_golden(), no hard assert, only printed booleans	elementary algebra/trig identity, easily verified, deterministic
B218_metallic_anyon_selection	main	IMPORTED	no	golden anyon chain flows to tricritical Ising CFT c=7/10	FINDINGS.md and jones_selection.py GOLDEN_CHAIN_CFT dict	explicitly CITED from Feiguin et al. PRL 98, 160409 (2007), NOT reproduced; FINDINGS.md is explicit that the author's own in-sandbox exact-diagonalization attempt was INCONCLUSIVE ('a first anyon-chain Hamiltonian was buggy... gave a gapped artifact')
B219_period_content_law	main	COMPUTED	yes	content(gamma) formula subsumes and corrects B215/B216's +-I-only depth criterion; exhaustive f=8 sweep (all classes/genera at t=18) shows period is a function of (trace,content) only	period_content.py, hard 'bad3'/'bad5' list-based checks (append to bad list, then FAIL/OK printed) -- closer to an assert pattern than several sibling scripts but still not a raised AssertionError	deterministic BFS + brute-force class enumeration via trace_classes(), fully computed in pyenv, no external deps; genuinely reruns and would print FAIL rather than silently passing if the law broke
B219_period_content_law	main	COMPUTED	yes	generalizes to f=16 (t=66): content-16 class has period 68=1088/16	period_content.py part(4), 2 hardcoded representative matrices checked against predicted period	spot-check not exhaustive at f=16 (only 2 reps), but computed live, not recorded
B220_golden_chain_cft	main	COMPUTED	yes	AFM golden chain (Fibonacci anyons on a ring, identity-channel projector Hamiltonian) is gapless (gap*N ~ const 0.86) with entanglement-entropy central charge c_ent ~ 0.71-0.76 across N=14..22, matching c=7/10	golden_chain.py build_H()/entanglement_c()/run(), printed table + a final printed mean, no hard assert gating the c~0.7 conclusion	self-contained sparse-matrix exact diagonalization (scipy eigsh) plus an entanglement-entropy fit, fully in pyenv; deterministic given fixed N; reproduces the claimed numbers as printed values though not gated by an assert in this script (FINDINGS says the associated pytest has a bracketed 0.60<c<0.78 lock, not in this packet)
B221_golden_chain_susy	main	COMPUTED	yes	c=7/10 by three exact rational derivations (GKO coset, Virasoro minimal model formula, N=1 superconformal series) all agreeing	coset_check.py, hard assert using exact Fraction arithmetic	pure Fraction-based rational arithmetic, exact and asserted, no external deps or approximation
B221_golden_chain_susy	main	COMPUTED	yes	the 6 tricritical-Ising Kac primaries {0,1/10,3/5,3/2,7/16,3/80} and the coset weights reproduce them mod 1	coset_check.py kac_weights_m45()/coset_weights_mod1(), asserted	exact Fraction arithmetic over the Kac formula, asserted
B221_golden_chain_susy	main	COMPUTED	yes	content(R^mL^m)=m and R^mL^m==I mod m for m=1..6	coset_check.py, asserted	elementary integer arithmetic, asserted
B222_golden_chain_operator_content	main	COMPUTED	yes	momentum-sector decomposition correctness gate: union of all H_k sector spectra equals the full spectrum to <1e-9 at N=10,12,14	momentum_ed.py correctness_gate(), printed PASS/FAIL, no hard assert but described as 'load-bearing' by FINDINGS and gates every downstream claim	brute-force full diagonalization vs sector-by-sector diagonalization compared directly, deterministic; the check itself is genuinely rigorous even though not a Python assert
B222_golden_chain_operator_content	main	COMPUTED	yes	NS-sector spinless scaling dimensions converge toward the TCI primaries {0,1/10,3/5,3/2} including x=3.0 (the supercurrent) at N=16..22	momentum_ed.py scaling_dimensions(), printed table, no assert on numeric tolerance	deterministic sparse ED + velocity calibration, reproducible; the interpretive claim ('supercurrent essentially exact') is a finite-size extrapolation judgment call, not a formally proved limit
B222_golden_chain_operator_content	main	COMPUTED	yes	R-sector (odd N) 2nd spinless level trends toward 0.8 = 2(7/16-3/80) at N=15,17,19,21, though FINDINGS calls this noisier/ambiguous at small N	momentum_ed.py r_sector_gap(), printed only	same ED machinery, but FINDINGS itself flags this as '[consistent]' not '[proved]' -- an honest tier downgrade for the noisier half of the claim
B223_golden_chain_lattice_susy	main	COMPUTED	yes	golden chain tau-parity (-1)^F is NOT conserved: ||[H,(-1)^F]|| ~ 0.97 (N=8,10,12), much greater than zero	lattice_susy.py golden_parity_conserved(), printed values, no hard assert	explicit sparse matrix commutator computed and printed, deterministic and easily reproducible
B223_golden_chain_lattice_susy	main	COMPUTED	yes	Fendley-Schoutens N=2 model on the same Lucas/Fibonacci Hilbert space is exactly SUSY: Q^2=0, [H,(-1)^F]=0, E_gs=0 (all to machine precision, e.g. 1e-14/1e-15), integer Witten index W=+-2 at L=6,9,12	lattice_susy.py fs_data(), printed table, no hard assert but the reported machine-precision agreement (1e-14 to 1e-15) is a strong signal	explicit sparse-matrix nilpotency/commutator/eigenvalue computation, deterministic, fully reproducible from committed code
B224_golden_unique_susy_metallic	main	COMPUTED	yes	among all unitary Virasoro minimal models M(q,q+1), only M(4,5) (c=7/10) matches some N=1 superconformal SM(p); exhaustive search q<80, p<120	coset_susy_uniqueness.py superconformal_minimal_models(), printed result, no hard assert but the search is exhaustive within the stated bounds and exact (Fraction arithmetic)	exact rational-arithmetic exhaustive search over a bounded range, fully reproducible; note the search is bounded (q<80,p<120) not a proof for all q,p, though FINDINGS' separate algebraic argument (solving c=SM(p) has a unique c<1 solution) does argue uniqueness analytically
B224_golden_unique_susy_metallic	main	IMPORTED	no	the su(2)_k anyon-chain -> M(k+1,k+2) flow (Feiguin-Trebst-Ludwig)	FINDINGS.md and coset_susy_uniqueness.py c_su2k_chain()	explicitly CITED (Feiguin-Trebst-Ludwig); only the k=3 case is independently reproduced in-sandbox (B220/B222); general k is not
B224_golden_unique_susy_metallic	main	ASSERTED	yes (as a definitional mapping)	the metallic index m <-> su(2) level k=m^2+2 correspondence	FINDINGS.md 'Honest status' section, explicitly labeled 'the motivated correspondence... does not depend on it'	this is presented honestly as a chosen correspondence (motivated by n=k+2=m^2+4) rather than a derived necessity; the arc explicitly notes the superconformal-uniqueness claim itself doesn't depend on this mapping (uniqueness holds among ALL k, independent of the m<->k identification)
B225_conductor_decomposition_test	main	COMPUTED	yes	figure-eight character variety pipeline reproduces B211's Phi=z^2-(x^2+1)z+(2x^2-1) exactly, bad primes {2,5}	conductor_test.py char_variety()/bad_primes(), printed comparison against B211, no hard assert	deterministic sympy symbolic computation, reproducible; matches B211 by construction
B225_conductor_decomposition_test	main	COMPUTED then found to be VACUOUS by downstream audit	yes (the tautology itself is reproducible: the code's bad_primes() genuinely reports 2 for every monic-in-z input, exactly as the audit found)	the original 'REFUTED' finding -- prime 2 appears in bad-prime sets of both twist and non-twist 2-bridge knots, so does not discriminate octahedral parents -- was later shown by the progress log (B742/B745) to rest on a tautological criterion: disc_z mod 2 is ALWAYS a square in F2[x] (Vandermonde/Stickelberger), so the bad-primes-contains-2 test can never distinguish anything at p=2	conductor_test.py bad_primes() (the flawed criterion, still present as committed code); the tautology finding itself is reported only in the progress log, not in a file in this packet	the mechanism the audit identified (Vandermonde/Stickelberger forcing disc_z mod 2 to be a square) is a real property of the code's own bad_primes() function, not an external claim; a reader could rerun bad_primes() on any 2-bridge knot's variety and see 2 always appears, confirming the criterion's zero specificity
B226_two_susy_bridge_L43	main	COMPUTED	yes	SU(2)_3 WZW central charge 9/5 and golden-chain coset central charge 7/10	l43_grounding.py, exact Fraction arithmetic, hard assert	exact rational arithmetic, asserted
B226_two_susy_bridge_L43	main	IMPORTED	no	the 'two faces' resolution (minimal models realized via non-hyperbolic Seifert 3-manifolds; figure-eight is hyperbolic hence a different 3d-gravity theory) rests on five external arXiv papers	FINDINGS.md REFERENCES list and l43_grounding.py REFERENCES constant	explicitly literature-cited (Gang-Kang-Kim arXiv:2405.16377, arXiv:2511.04524, arXiv:2512.23122, arXiv:2401.13900, arXiv:1905.09960); FINDINGS.md documents a genuine verification step (checking these papers' actual abstracts, not just a summarizer, and catching one overclaim about a 'hyperbolic-link alternative') but the physics content of the resolution is not independently derived in this repo, only assembled and cross-checked against cited sources
B227_metallic_seifert_duals	main	COMPUTED	yes	applying the (cited) Gang-Kang-Kim Seifert recipe M(P,Q)<->S^2((P,P-R),(Q,S),(3,1)) to the metallic family P=m^2+4,Q=m^2+3 gives (R,S)=(1,1) for all m, and m=1 reproduces the published TCI Seifert data (|H_1|=83 matches in both presentations)	metallic_seifert.py seifert_data()/h1_order(), asserted for m=1 vs paper values	exact Fraction/integer arithmetic; the recipe itself is CITED (Gang-Kang-Kim) but its application to the metallic family and the |H_1| formula are computed and verified in-sandbox
B227_metallic_seifert_duals	main	COMPUTED	yes	|H_1| = 4m^4+28m^2+51 = (2m^2+7)^2+2 exact quartic formula, verified m=1..11	metallic_seifert.py, printed boolean check (ok = all(...)), no hard assert statement per se but a computed all() check printed	pure integer arithmetic, deterministic, verified over range 1-11
B228_golden_susy_coset_mechanism	main	COMPUTED	yes	the two GKO coset families reproduce the standard closed-form central-charge formulas (verified m=3..19, mp=2..19)	coset_coincidence.py c_ordinary()/c_super() vs the formula versions, printed boolean check	exact Fraction arithmetic comparing two independent formula derivations, deterministic and reproducible
B228_golden_susy_coset_mechanism	main	COMPUTED	yes	the unique coincidence (m,m')=(4,3) among ordinary/super cosets, searched over m<80, mp<80	coset_coincidence.py coincidences(mmax=80), printed result, no hard assert	exhaustive search over a bounded range (mmax=80) using exact frozenset/Fraction comparisons; bounded not a closed-form uniqueness proof for all m, though FINDINGS's structural argument (numerator multiset + denominator match forces a unique linear solution) supplies the unconditional argument
B229_tci_super_seifert	main	COMPUTED	yes	ordinary TCI Seifert S^2((5,4),(4,1),(3,1)), cone orders (5,4,3), |H_1|=83, matches B227's published-example cross-check	super_seifert.py seifert(5,4,1), asserted at the end via 'assert same_cft and diff_manifold'	exact integer/Fraction arithmetic, genuinely asserted this time (unlike many siblings)
B229_tci_super_seifert	main	IMPORTED	partial	super TCI label SM(3,5), Seifert S^2((5,4),(3,1),(3,1)), cone orders (5,3,3), |H_1|=66	super_seifert.py seifert(5,3,2)	FINDINGS.md is explicit this rests on a 'verified verbatim abstract quote' (arXiv:2511.04524) for the super recipe's determinant condition (PS-QR=2) but is 'NOT independently anchored against a published worked super example (the paper's HTML was unavailable)' -- a named, honestly-flagged gap; the computation itself (applying the cited recipe form) is deterministic and reproducible from committed code, but the recipe's correctness for the super case is less anchored than the ordinary case
B230_fm_robustness_susy	main	COMPUTED	yes	fm_c(2)==c_scft(6)==5/4 but parafermion_coset(6)!=super_coset(6)	fm_robustness.py:86-88	exact Fraction arithmetic, asserted, runnable with only stdlib (fractions)
B231_nonsusy_metallic_chains	main	COMPUTED	yes	ED validation of su(2)_k chain (k=2,3) reproduces c=1/2, 7/10 within 0.05	nonsusy_chains.py:170-178	exact-diagonalization build with numeric assert tolerance, runnable stdlib+numpy
B231_nonsusy_metallic_chains	main	COMPUTED	yes	lambda_m<2 iff m=1 (quantum-dimension identity) — exact Fraction table for m=1..5	nonsusy_chains.py:145-206	closed-form Fraction/float comparison, asserted
B232_rho_n_plethysm	main	COMPUTED	yes	Stabilization recursion (R) verified symbolically for the explicit two-sequence tower n=3..8	plethysm_recursion.py:96-101	sympy character-polynomial identity checked with assert, runnable (script notes ~5.5 min)
B232_rho_n_plethysm	main	COMPUTED	yes	(R) verified on the real (proved) Jacobian n=4,5	plethysm_recursion.py:103-110	same sympy check against b89t module output
B233_synthesis_split_and_five	main	COMPUTED	yes	min(m^2+4)=5 and SL(2,F5) is the largest exceptional McKay group order (48 never a SL(2,F_p) order)	verify_five.py:53-70,117-119	exact integer sweep with asserts, stdlib+sympy isprime
B234_handoff_verification	main	COMPUTED	yes	trace-1 congruence law disc=1-4det; E7's Q(sqrt2) unreachable by odd trace	handoff_verify.py:186-227	exact integer/Fraction sweeps with asserts
B234_handoff_verification	main	COMPUTED	unknown	E7's 56-rep Frobenius-Schur indicator is pseudoreal (-1), not real, correcting chat1's claim	e7_fs_indicator.py:16-26	script imports Sage's WeylCharacterRing (implied by context/other Sage scripts in the arc set); not verified runnable without Sage, which is not proven present in the environment by this arc's committed files alone
B235_metallic_table	main	COMPUTED	yes	metallic table (m=1..6) central charges, SUSY flags, |H1| values	metallic_table.py:90-94	exact Fraction arithmetic, asserted
B235_metallic_table	main	COMPUTED	yes	no integer level k with c(SU(3)_k)=26/5 (F4 retraction)	metallic_table.py:117 (sols==[])	closed-form Diophantine check, asserted
B235_metallic_table	main	COMPUTED	no	figure-eight covers up to degree 6 all have invariant trace field Q(sqrt-3), no sqrt(-7)	l47_snappy_probe.py	requires sage-python + SnapPy; no committed witness output (.log/.out) exists in the directory, so a stranger without SnapPy cannot check the claimed numeric field result independent of running proprietary/optional software
B236_coset_coincidence_pathA	main	COMPUTED	yes	M(4,5)=SM_1 is the unique matching (ordinary,super) coset pair up to m,k<=60	coset_coincidence.py:83-99	exact Fraction central-charge sweep, asserted
B236_coset_coincidence_pathA	main	COMPUTED	yes	TCI = (E7)_1 x (E7)_1 / (E7)_2 coset, c=7/10	coset_coincidence.py:105	closed-form central-charge formula checked exactly
B237_silver_2O_l48	main	COMPUTED	no	GQuotients table: golden/silver/bronze bundle pi1 surjections onto 2T/2I/2O/S4	silver_2O.py (gap_fp_group/nsurj, run via sage-python + GAP)	requires SnapPy fundamental-group presentations piped into GAP's GQuotients; no committed .log/.out witness exists in the directory, so the specific counts (2,0,0 / 0,0,0,2 / 10,2,0) cannot be checked without running Sage+GAP independently
B238_su32_levelrank	main	COMPUTED	yes	SU(3)_2 modular data (S,T) gate-verified (unitary, symmetric, S^2=perm, (ST)^3 prop S^2)	su32_wrt.py:91-96	pure numpy, no external deps, asserted
B238_su32_levelrank	main	COMPUTED	yes	Z(4_1; SU(2)_3) = Z(4_1; SU(3)_2) = -1/phi exactly	su32_wrt.py:96	numeric match within 1e-9 for both traces
