packet	path	outcome	certifies	depends_on	runtime_s	reason	evidence
D008	outside_bench/certificates/a5_parity_lemma.py	PASS	Exact (Fraction) exhaustive check over all 63 nonzero even-labeled candidate vectors c in {0,2}^6 for the E6 Cartan matrix: of the 23 that land in the coroot lattice (integral A^{-1}c), <omega_1,H>=m_1 is even in every case, proving the projectivity criterion's second clause is redundant; also cross-checks memo 30's 9 banked even characteristics are among the integral candidates.	hardcoded E6 Cartan matrix A (bench's simple-root order, asserted symmetric) and a hardcoded list of 9 'banked' characteristics from memo 30 (external cited record, not recomputed here)	0.2		even-labeled candidates c in {0,2}^6 \ {0}: 63 of these ... lies in the COROOT lattice: 23 <omega_1,H> even for EVERY even-labeled coroot-lattice element: True all 9 banked even characteristics appear among the integral candidates: True EXIT:0
D008	outside_bench/certificates/alignment_audit.py	PASS	Sympy-exact re-derivation that SM-shaped anomaly-cancellation linear conditions force Yl=-3Yq, Ye=6Yq, Yu+Yd=-2Yq and the cubic anomaly factors as -18(u-2)(u+4) (roots {2,-4}), independent of E6; plus two hardcoded-arithmetic checks (26*25/2+1=326!=78=dim E6; 8+78+2*81=248) and a SHA-256 hash computation of a sibling file (twisted_double.py) reported as a 'stack hash' fact, with the rest of the file being narrative alignment claims (not computed here, only asserted/cited).	sympy solve/simplify/factor for FACT 1 (self-contained symbolic derivation); hardcoded integer arithmetic for FACT 2; the file outside_bench/certificates/twisted_double.py (hashed, present) for FACT 3, and an external cited claim (codex R006/R019 byte-identical output, sha1 de13c87a...) that is NOT independently re-verified by this script, only asserted in print output	0.5		FACT 1: linear conditions => Yl=-3Yq, Ye=6Yq, Yu+Yd=-2Yq; cubic/Yq^3 = -18*(u - 2)*(u + 4) FACT 2: dim(SO(26)xU(1)) = 326 != 78 = dim E6 ...; 248 = 8 + 78 + 2x81 ... FACT 3: lane stack sha256 = 4a0fb415c7681e05... (codex R006 stack verified byte-identical in-shell, sha1 de13c87a...; R019 re-run ... byte-identical to codex's committed outputs/r019_hypercharge_trinification_scope.txt) EXIT:0
D009	outside_bench/certificates/amphichiral_word.py	PASS	Searches reduced words to length 6 in the free group on {a,b} realized via explicit SL2(Q(omega)) matrices A,B, exactly (via sympy symbolic algebra over Q(sqrt3, i)) finds a word map phi (a->'a', b->'bAB') and holomorphic intertwiner g with gal(rho(x)) = g*rho(phi(x))*g^-1 for x in {a,b}, verifies this exactly on the generators and on 5 longer spot-check words, and further shows phi is an automorphism (phi^2 inner) by an exact matrix identity h = gal(g)*g = rho(a).	Self-contained: hardcoded matrices A, B (parametrized by omega = primitive 6th root of unity) defining rho on generators a,b; no external data files or repo imports beyond sympy.	3		word pool: 1456 reduced words to length 6; 104 parabolic (trace +-2) candidates FOUND: phi(a) = a, phi(b) = bAB (SL2 signs 1, 1);    intertwiner g = [[1, (sqrt(3) - I)/(sqrt(3) + I)], [0, 1]]    verified exactly on the generators AND spot-checked on longer words ...    AND phi is an AUTOMORPHISM, constructively: h = gal(g)*g = rho(a)    EXACTLY ... Gate 5 untouched.
D009	outside_bench/certificates/anatomy_reconcile.py	CANNOT_RUN	Would join two banked classification artifacts (kill_graph.json's `faces_consulted` and atlas_data.json's `motifs`) at a pinned git commit, build a contingency table of face x motif over the joined arcs, and decide REDUNDANT vs ORTHOGONAL AXES by an 80%-concentration criterion — but it never reaches that computation.	Shared module _oa_source.py, which reads frontier/B738_pathfinder_compiler/kill_graph.json and scripts/atlas/atlas_data.json at a hardcoded PINNED_REF commit SHA (3c58527bc3851ae44fef4f48ecc1eac8aa9dd41b) via `git show <sha>:<path>` against this repo.	1	RuntimeError: git show 3c58527bc3851ae44fef4f48ecc1eac8aa9dd41b:frontier/B738_pathfinder_compiler/kill_graph.json failed: fatal: bad object 3c58527bc3851ae44fef4f48ecc1eac8aa9dd41b (the pinned commit object does not exist in this worktree's — a shallow clone's — git history, so the file cannot be materialized at that ref).	"Traceback (most recent call last):   File "".../anatomy_reconcile.py"", line 44, in <module>     KG = primary(""frontier/B738_pathfinder_compiler/kill_graph.json"") ... RuntimeError: git show 3c58527bc3851ae44fef4f48ecc1eac8aa9dd41b:frontier/B738_pathfinder_compiler/kill_graph.json failed: fatal: path 'frontier/B738_pathfinder_compiler/kill_graph.json' exists on disk, but not in '3c58527bc3851ae44fef4f48ecc1eac8aa9dd41b'  Confirmed independently: `git cat-file -e 3c58527b...` -> fatal: bad object (commit unreachable in this shallow clone)."
D009	outside_bench/certificates/anomaly_payment.py	PASS	Builds the E6 27-dim representation exactly (rational/integer arithmetic via the shared twisted_double.py machinery), computes the full symmetric cubic anomaly tensor over 6 Cartan functionals (family charge q + 5 D5 Dynkin labels) on the full 27 (all 56 components exactly zero), on the visible 16-block (only q-touching components nonzero), shows the dark block's tensor is the exact negative of the 16-block's component by component, and verifies the mixed [D5]^2 u(1) cancellation via the exact integer Dynkin-index ratio B_16 = 2*B_10 — all via assert statements on exact integer/rational values.	outside_bench/certificates/twisted_double.py (shared E6 construction code, exec'd up to a marker) for the root system, weight construction, and rho27 representation; no external data files.	4		FACT 0: full 27 cubic tensor: 56 components, nonzero: 0 FACT 1: 16-block: pure-D5 components all ZERO (35 checked); ... FACT 2: T_dark = -T_16 in EVERY component — the payment is exact         [u(1)]^3: 16 vs -16 (= -16) FACT 3: B_16 = 2 * B_10 entry-by-entry ... 1*B_16 + (-2)*B_10 = 0 ...Gates 2/3/5 not crossed.
D009	outside_bench/certificates/atom_shape.py	PASS	From the E6 27-dim representation (exact rational arithmetic) and a derived hypercharge direction, computes the electric-charge functional Q=T3+Y on the roster and asserts exactly: the SM charge table (u 2/3, d -1/3, etc.), charge quantization (integer charge for every color-singlet, (1/3)Z\Z for colored states), color-singlet composability at the weight level (color-triplet weights of the 3 sum to zero), and exact neutrality Q(uud)+Q(e)=0 and Q(udd)=0 for hydrogen- and neutron-shaped composites, all via exact Fraction/sympy.Rational equality asserts.	outside_bench/certificates/twisted_double.py (shared E6/27-rep construction, exec'd) for weights, roots, and rho27; standard SM charge-assignment convention Q = T3 + Y is cited/hardcoded (not derived); no external data files.	5		FACT 1: the forced charge table (Q = T3 + Y, ratios): u 2/3 (x3), d -1/3 (x3), ... FACT 2: CHARGE QUANTIZATION — every color-singlet has INTEGER charge; ... (BRANCH FRACTURE did not fire.) FACT 3: the three color weights of the 3 sum to ZERO ... FACT 4: Q(uud) + Q(e) = 0   |   Q(udd) = 0    THE HYDROGEN-SHAPE AND NEUTRON-SHAPE ARE EXACTLY NEUTRAL ...
D009	outside_bench/certificates/b2_yukawa.py	PASS	Constructs an orthogonal A2^3 (trinification) subalgebra of E6 from scratch on the root system, computes the dimension of the space of symmetric trilinear invariants on the 27 under this subalgebra via an exact-rational nullspace computation of derivative constraint rows (Fraction arithmetic), finds dim=4 as preregistered, and cross-checks that adding all remaining 54 root generators (restoring full E6) cuts this to dim=1 (E6's unique Jordan cubic), asserted exactly.	outside_bench/certificates/twisted_double.py (shared E6 root system / 27-rep construction, exec'd); no external data files.	6		orthogonal A2 triple found: 3 x 6 = 18 roots, pairwise orthogonal 27 slot-signature blocks: {(1, 1, 0): 9, (1, 0, 1): 9, (0, 1, 1): 9} weight-zero symmetric triples (full-rank Cartan shared): 45  YUKAWA COUNT: dim of trinification-invariant symmetric trilinears on the 27 = 4 (preregistered: 4 = ...) cross-check: adding the other 54 root generators cuts the space to dim = 1 (e6's 1)
D010	outside_bench/certificates/b496_rediscovery.py	PASS	Symbolic (sympy exact) check that memo 117/118's dynamical map L is algebraically identical to a previously-banked B496 Thue-Morse trace map T1, that memo 118's closed form matches B496's kappa-factorization algebraically on the kappa locus, and an exact rational-pair-arithmetic computation of an Eisenstein-integer orbit tower verifying it evades B496's real-case ejection bound (kappa_2 = -46 < 2).	Hardcoded verbatim statements of B496's banked PROVED result (trace map formula, kappa-factorization, ejection bound) taken as given from the cited frontier/B496_tm_endomorphism record; no external file imports.	1		V1 — bench's L vs B496's T1: IDENTICAL = True ...V2 ... ALGEBRAICALLY THE SAME: True ...level 2: z = (-10, 0), kappa = (-46, 0) ...**the record's own tower EVADES B496's '>= 2 over R'** ...Gate 5 untouched. EXIT=0
D010	outside_bench/certificates/bit_ledger.py	PASS	Exact rational-pair arithmetic over Q(omega) (omega root of X^2-X+1) computing traces of all reduced words to length 8 in a 2-generator matrix group; verifies all traces are integral in Z[omega] (never require a larger field), that tr(a) and tr(ab) generate exactly Z[omega], and symbolic (sympy) verification that the minimal polynomial's two roots are exchanged by complex conjugation with Galois group Z/2 acting simply transitively.	Hardcoded relator word 'abaBAbabAB' and generator matrices Ma, Mb (cited from memo 107/109); no external files.	2		L3 (SPENT ONCE, NEVER AGAIN): all 13120 reduced words to length 8 have     traces in Z[omega] — 0 non-integral, 180 distinct values; ...L4 (downstream determinism): ... real parts EQUAL, imaginary parts     OPPOSITE... Gate 5 untouched. EXIT=0
D010	outside_bench/certificates/branch_bit.py	PASS	Symbolic (sympy exact) enumeration of a finite list of candidate symmetries of a Fricke-slice dynamical system, checking each for kappa-preservation, fixed-point status at the trivial rep, commutation/reversal with the flow T^2, and (for flow-commuting fixers) action on the exact golden-ratio unstable eigenvector v_u; concludes no symmetry swaps branches (v_u -> -v_u) among flow-commuting fixers, but one candidate exactly time-reverses the flow.	Hardcoded banked data cited from memo 94 (the flow map T, trivial rep P0=(2,2,2), exact eigenvector v_u and eigenvalue phi^4) and a manually enumerated finite candidate symmetry list; no external files.	2		"re-pinned: v_u is the exact phi^4 eigenvector of D(T^2) at (2,2,2). ...OUTCOME: NO SWAP — no candidate symmetry ... THE BRANCH BIT SURVIVES... RECORDED: time-reversing symmetries found [(""s o e'"", True)] ... Gate 5 untouched. EXIT=0"
D010	outside_bench/certificates/breaking_chains.py	PASS	Exact/symbolic (sympy, exact rationals) computation within an E6 root-system construction (loaded by exec'ing part of twisted_double.py): builds the 27-dim representation, verifies it respects all 3003 Chevalley brackets, rebuilds a forced-hypercharge vev direction, finds exactly 2 SM-safe vev directions in the 27, verifies the surviving Cartan torus has dimension 4 (=rank of SM gauge group) and computes the GF(2) lattice of surviving Z/2 gradings (15 nontrivial), checking whether known patterns (psi matter-parity, lock pattern) survive.	Imports (via exec of a source slice) outside_bench/certificates/twisted_double.py for the E6 root system, weight data, and helper functions (ROOTS, weights, ipr, rho27_Q, etc.); relies on memo 70's forced-hypercharge construction and memo 56/61's frame conventions as cited context.	3		stage 1 VERIFY: rho27 respects ALL 3003 Chevalley brackets: PASS stage 3: relator acts as identity on the 27: PASS FACT 1: SM-safe vev directions ...: 2 -> states [1, 17] FACT 2: surviving Cartan torus dimension = 4 (expect 4 = rank SM) ...contains color Cartan + T3 + Y: True FACT 3: ... NONTRIVIAL surviving Z/2 gradings of the 27: 15 EXIT=0
D010	outside_bench/certificates/c1_weyl.py	PASS	Numerical (mpmath, 30-digit precision) derivation of a cusp-spectrum zero-counting law N(T) for K=Q(sqrt(-3)): verifies the functional equation of the completed L-function Lambda_K to relative error <1e-18, shows the Stirling-expansion constant term numerically vanishes (<1e-5) as T grows, recomputes a census of 108 zeros (43 Riemann zeta zeros via mpmath zetazero + 65 zeros of L(chi_-3) found by bisection) to T=130, and checks the preregistered gate |N_obs(T) - theta_K(T)/pi| < 2 at 5 checkpoints.	mpmath's zetazero for the Riemann zeta zero census (external library computation, not hardcoded); the banked comparison count '43+65=108' is cited but independently recomputed in-run and matched exactly; no other external files.	5		functional equation Lambda_K(s) = Lambda_K(1-s), relative errors: [2.02e-31, 1.58e-31, 5.04e-31] census recomputed: 43 zeta zeros + 65 L(chi_-3) zeros = 108 (banked: 43+65=108) ...preregistered gate |S(T)| < 2 at all checkpoints: True EXIT=0
D011	outside_bench/certificates/c2_habiro.py	PASS	Exact (sympy, in Z[q,q^-1] and Z[zeta_n]/Phi_n) verification of the Habiro/cyclotomic sum-form of the colored Jones polynomial of the figure-8 knot: J_2 matches the classical Jones polynomial and J_N(q)=J_N(1/q); the Kashaev bridge J_N(zeta_N)=<4_1>_N holds exactly for N=5,7,9; and a p-adic congruence tower of pi-adic valuations (via resultant norms) for p in {2,3,5}, r=1,2 is measured exactly, landing on a universal law v_pi=2 rather than the originally preregistered growing-valuation branch.	none (self-contained sympy computation; cites the classical Jones polynomial of 4_1 and Habiro's cyclotomic-coefficients-all-1 form as external anchors, used only as an in-script assertion target)	3		MEASURED LAW: v_pi(difference) = 2 UNIVERSALLY (all p, all r): True   v_pi(2 - zeta - zeta^-1) at level 4: 2 ... at level 125: 2  C2 / C-AD3 CLOSED ON THE PREREGISTERED SECOND BRANCH, with the law exact: ... Placement/structure only; Gate 5 untouched. [exit code 0]
D011	outside_bench/certificates/c2b_ohtsuki_bridge.py	PASS	Exact (sympy, integer Taylor coefficients in Z[[t]], t=q-1, and pi-adic valuations via resultant norms in Z[zeta]) verification that the Ohtsuki/Taylor expansion at q=1 of the unified figure-8 element approximates each root-of-unity evaluation I(zeta_{p^r}) to pi-adic order at least the truncation length N, for p^r in {4,8,9,27,5,25} and N in {4,6,8,10} — the preregistered gate v(N,p^r)>=N everywhere.	the machinery/table from c2_habiro.py (I_at_level definition) reproduced inline; otherwise self-contained sympy computation	4		preregistered gate v(N, p^r) >= N everywhere: True  C2b CLOSED: the Taylor/Ohtsuki germ at q = 1 approximates EVERY p-power evaluation to pi-adic order at least the truncation length ... Placement/structure only; Gate 5 untouched. [exit code 0]
D011	outside_bench/certificates/c3_ohtsuki_large.py	FAIL	Numerical (mpmath, 120 decimal digits) asymptotic expansion of the Kashaev invariant <4_1>_N for N up to 4000, fitting the 1/N series coefficients c0,c1,c2 by a Vandermonde solve on the N-ladder, then attempting PSLQ integer-relation recognition of c1,c2 in a basis of {1,pi,1/pi,sqrt3,Vol,...} with the preregistered gate requiring >=60 stable digits before recognition is trusted.	none beyond mpmath (Vol computed in-script via Cl2(pi/3); no external data files; c3_ladder.txt checkpoint was absent so full N-ladder [400..4000] was computed fresh in this run)	240	Script has no assert on the PSLQ outcome (exit 0), but its own preregistered gate (stable digits >= 60 before a PSLQ relation may be trusted) is explicitly not met: stable digits ~17 (c1) and ~13 (c2), yet PSLQ still emits large-height integer relations (heights ~1e7-1.5e8) for both c1 and c2 that the script's own gate says are not reliable at this precision -- so the printed PSLQ relations do not constitute a validated recognition and the certificate's stated preregistered outcome is not satisfied.	stable digits: c1 ~ 17, c2 ~ 13  (gate: >= 60 for recognition) PSLQ(c1): [-4850164, -107941735, -88227247, 92114383, -77549873, 1345497, -82071196, -2677092, -57005583, -102769586, 95948433, 34023491] PSLQ(c2): [-58733772, -50489661, 3754069, -92200574, 37276698, 150379790, 137375552, -35625984, 62360272, -17937297, -11715373, -4069523] [exit code 0, no assertion, but the docstring's own >=60-digit gate is unmet]
D011	outside_bench/certificates/c4_gue_larget.py	TIMEOUT	Numerical test (mpmath zetazero + bisection root-finding, KS statistic) of whether the merged, unfolded nearest-neighbor spacings of >=3000 zeros of zeta(s) and L(s,chi_-3) follow the GUE Wigner-surmise distribution rather than Poisson, at T up to 3000, per its own preregistered two-outcome gate (p_GUE>0.01, p_Poisson<1e-6, D_GUE<D_Poisson).	none beyond mpmath; script computes zeta and L(chi_-3) zeros itself and checkpoints them to c4_zeros_zeta.txt/c4_zeros_L.txt in the run directory (resumable), consistent with its documented multi-hour runtime	600	exceeded the 600s budget: only 1661 zeta zeros (to t~2154) had been found (and 0 L-zeros yet) when killed by timeout, well short of the T=3000 / >=3000-zero target needed for the KS verdict	C4: scanning to T = 3000.0   zeta zeros: 200 (t=395.6)   ...   zeta zeros: 1600 (t=2088.7) Terminated [killed by 600s timeout; exit 143]
D011	outside_bench/certificates/c4b_superposition.py	PASS	Numerical (scipy KS test) comparison of merged zeta_K=zeta*L(chi_-3) unfolded spacings against single-GUE vs. a closed-form 2-fold GUE superposition surmise, using B1151's pre-committed zero data (2469 zeta + 2991 L(chi_-3) zeros to T~3000); checks anchor reproductions A1/A2 (matching cited D-values to 1e-3), the positive claim S1 (D_superposition<0.06 and <D_single/2), and control C1 (each factor alone fits single-GUE better than the superposition) via assert statements.	committed raw zero data files outside_bench/certificates/c4data/c4_zeros_zeta.txt and c4_zeros_L.txt (B1151, main @522c7caa, per the docstring); cited comparison numbers D_zeta=0.0401, D_L=0.0487, D_merged_single-GUE=0.13365 (B1151's own results, asserted as anchors)	6		A1: zeta alone  D=0.0401 (B1151: 0.0401)  p=0.000685 A1: L alone     D=0.0487 (B1151: 0.0487)  p=1.36e-06 A2: merged vs single-GUE  D=0.13359 (B1151: 0.13365)  p=2.03e-85  mean=1.000100 S1: merged vs 2-fold GUE SUPERPOSITION  D=0.02400  p=0.00365 C1: zeta alone vs superposition D=0.1802 (vs GUE 0.0401); L alone D=0.1914 (vs GUE 0.0487) [exit code 0, all asserts passed]
D012	outside_bench/certificates/c5_qp1.py	PASS	On the Riley representation family of m004 (A=[[m,1],[0,1/m]], B=[[m,0],[s,1/m]]), it computes the exact geometric Riley curve phi(m,s)=0 (degree 2 in s) via symbolic polynomial factorization of the relator, then checks symbolically whether tr(longitude) separates the two branch points s1,s2 over a fixed meridian eigenvalue m; it finds S(m) (the antisymmetric part of tr(lambda) mod phi) is identically 0, i.e. boundary character is blind to the interior bit, and further verifies exactly (at m=7/5) that the two branch longitude eigenvalues multiply to 1, differ, and the fiber discriminant is negative. All checks are exact/symbolic (sympy), no floating point or tolerance.	none (pure symbolic computation from the stated Riley matrices and word choices; sympy only)	5		S(m) = beta(m), factored: 0 S identically zero (boundary blind): True ...    L1 * L2 = 1   (1 = the fiber swaps L <-> 1/L)    L1 == L2: False  (False = the ORIENTED eigenvalue separates) fiber discriminant at m = 7/5: -2758899/390625  (< 0: the two interior points are complex conjugate) QP-1 CLOSES ON THE PREREGISTERED SECOND BRANCH, WITH THE MECHANISM EXACT:
D012	outside_bench/certificates/cancellation_residue.py	PASS	In exact pair (Z[omega]) arithmetic and symbolic polynomial algebra, it checks: P1 kappa-2 = omega^2 exactly for a specific hardcoded holonomy pair (Ma,Mb); P2 this residue is nonzero; P3 a symbolic polynomial identity that the residue transforms multiplicatively under a specific layering substitution (verified via sympy expand to be exactly 0 after subtraction); P4 that none of 7 successive tower iterates (computed via exact pair-arithmetic matrix products) of the cofactor vanish. All checks exact (rational/symbolic), no tolerance.	hardcoded holonomy matrices Ma, Mb and the layering map L defined in-script; cites memo 86/106, B161, B496 as sources for the constants/formulas being re-verified, but the arithmetic itself is self-contained	3		residue := kappa - 2 = -1 + 1*omega = omega^2 EXACTLY. ... residue' = residue * (x**2 + y**2 - x*y*z)     [symbolically exact] ... NO cofactor vanishes on the tower (levels 0-6 checked exactly).
D012	outside_bench/certificates/carrier.py	PASS	Builds an exact 54x54 (C^2 tensor 27) pi1-module representation over Q(q) by importing e6/27-rep machinery from twisted_double.py, then checks exactly (rational arithmetic, no floats): (1) the relator word maps to the 54x54 identity; (2) a joint spin/internal weight table has exactly 24 'doubly-odd' and 30 'doubly-even' states; (3) a proposed beat map intertwines the a,b generators exactly and its square equals rho(a) (the meridian); (4) the lift-ambiguity sign operator C_Psi equals +1 exactly on the 24 doubly-odd states and -1 on the 30 others.	outside_bench/certificates/twisted_double.py in the same directory (executed via exec() up to a marker, providing ROOTS/DIM/N/evec/br/rho27_Q etc.); cites memo 45/46/28/29 as motivating sources for the construction	5		relator = +I_54 on Psi: True doubly-odd (spinor x internal-doublet) states: 24 (expect 24); spinor x internal-singlet: 30 (expect 30) beta_Psi rho(a) beta^-1 = rho(a): True beta_Psi rho(b) beta^-1 = rho(w(b)): True beta_Psi^2 = rho_Psi(a) (the MERIDIAN on the carrier): True C_Psi = (-I_2)(x)C_27 acts as +1 on 24 states, -1 on 30 states
D012	outside_bench/certificates/census_distinct.py	PASS	Rebuilds, via exact Fraction-arithmetic linear algebra on the E6 Chevalley basis (imported from twisted_double.py), all 20 nonzero nilpotent orbit characteristics of E6, verifies each gives an exact sl2 triple ([e,f]=h,[h,e]=2e,[h,f]=-2f), computes each orbit dimension as 78 - exact-rank(ad e), and checks the resulting multiset [22,...,72] against two independently-cited closed-form facts (Kostant's theorem: regular orbit dim = dim(g)-rank(g) = 72; minimal orbit dim = 2*h^vee-2 = 22) plus universal evenness — all pass. It also deliberately asserts non-equality with a stated-mistranscribed reference list and asserts exactly 11/20 sorted positions coincide, both of which are the script's own preregistered (corrected) expectations and both pass.	outside_bench/certificates/twisted_double.py (executed via exec(), providing ROOTS/DIM/N etc.); cited constants: dual Coxeter number h^vee(E6)=12, Kostant's theorem, and a hardcoded 'reference draft' orbit-dimension list from Carter's book used only as a deliberately-mismatched comparison target	4		Kostant check PASSED: dim z(e_regular) = 6 = rank(E6) = 6; regular orbit dim = 78-6 = 72. minimal-orbit check PASSED: min computed dim = 22 = 2*h^vee(E6)-2 = 2*12-2 = 22. evenness check PASSED: all 20 computed orbit dimensions are even. ... 11/20 positions agree with the reference draft; disagreement begins exactly at the point where the draft's duplicated-54 / missing-72 transcription error takes effect.
D012	outside_bench/certificates/center_lock.py	PASS	Using the same e6/27-rep machinery (imported from twisted_double.py), it checks exactly (rational arithmetic): FACT1 that (-1)^(H_diag weight) equals the previously-defined lock operator C_Psi on all 54 slots, and (-1)^wt equals C_27 on the internal 27; FACT2 re-derives the diagonal-sl2 decomposition of Psi (6 spin1 + 15 spin1/2 + 6 spin0) and computes the commutant dimension as 6^2+15^2+6^2=297; FACT3 that the central element's image on the carrier is exactly {I, C_Psi} with C_Psi^2=I and C_Psi != I.	outside_bench/certificates/twisted_double.py in the same directory (executed via exec() up to a marker); cites memo 46/50/51, B1146, cc3(B8111/B8118) as sources for constructions being re-verified; standard CITED facts used but not recomputed: Zariski density, Z(SL2)={+-I}	5		FACT 1: (-1)^(H_diag) == C_Psi on all 54 slots: True; (-1)^wt == C_27: True FACT 2: Psi|_diag-sl2 = 6 spin1 + 15 spin1/2 + 6 spin0 (re-derived);    commutant of the closure: dim = 6^2+15^2+6^2 = 297 FACT 3: the center's image on the carrier = {I, C_Psi}, C_Psi^2 = I, C_Psi != I
D013	outside_bench/certificates/charter_pin.py	PASS	A drift guard that checks four hardcoded banked-output strings (from grav_ablation_out.txt, geodesic_tongue_out.txt, psi_survival_out.txt, one_bit_out.txt) are still present verbatim in the lane's outputs directory — a string-containment pin, not a new computation.	Four pre-existing output files in outside_bench/outputs/ (grav_ablation_out.txt, geodesic_tongue_out.txt, psi_survival_out.txt, one_bit_out.txt) generated by other memos/certificates; hardcoded needle strings cited to memos 77/78/79/81.			E2 pinned: grav^2 Y load-bearing; cubic redundant (memo 78) E3 pinned: exact spectrum, mirror-symmetric, systole 2-w (memo 81) E6 pinned: SM torus exact; family charge dies gcd-1 (memo 77) E7 pinned: chirality character-invisible, orientation visible (memo 79)  CHARTER PIN GREEN: the four bench anchors of THE_GRAVITY_CHARTER.md stand as banked.
D013	outside_bench/certificates/class_group_953.py	PASS	Exact symbolic/arithmetic computation with sympy: verifies disc(x^3-12x+5)=6237 equals the cited field discriminant (so Z[theta]=O_K), checks a banked minimal polynomial acquires a root over Q(theta) (same-field gate), reproduces a banked mod-p splitting table for p<=17, then harvests principal-ideal relations over a bounded integer box to compute the class number upper bound (Smith normal form of the relation lattice) and asserts h(K)<=1, plus exhibits an explicit norm-953 element.	Hardcoded banked constants cited to other memos: the discriminant value 6237 (B931 round_two), the m_S minimal polynomial coefficients (B928), and the banked mod-p splitting table (B931); no external files, sympy only.			relation harvest: 565 relations (box 7); lattice rank 7/7; Smith diagonal [1, 1, 1, 1, 1, 1, 1] CLASS-GROUP UPPER BOUND from the harvested principal relations: h <= 1 ... EXHIBIT: alpha = -26 + -1 theta + 2 theta^2 has N(alpha) = 953 —    P1(953) is PRINCIPAL WITH AN EXPLICIT GENERATOR
D013	outside_bench/certificates/clocks_inventory.py	PASS	A numerical (mpmath, 60 dp) recomputation of an exact integer/quadratic-integer trace tower for a Fricke-map layer flow, showing the ratio log|z_{n+1}|/log|z_n| converges to 2 (super-exponential growth), then narratively compares that rate against a separately hardcoded golden-ratio pulse rate; no assert statements — the script prints its computed numbers and a textual verdict, exiting 0.	Hardcoded matrices/generators (Ma, Mb) and the omega=1/2+i*sqrt3/2 basis definition; cited banked facts from memos 90/94/118/119 and B721/B716 used only in the narrative commentary, not in the computed numbers.			the ratio converges to 2.0006311232 -> EXACTLY 2:     the layer flow is SUPER-EXPONENTIAL (log|z| doubles each level). ... => DIFFERENT GROWTH CLASS. ... EXIT:0
D013	outside_bench/certificates/closure_claim_sweep.py	PASS	A heuristic text-mining/IDF scanner over the repo's arc_verdict.json corpus and doc surfaces that flags 'permanence' claims lexically matched to an arc whose own text or verdict marks a route still open; it is self-validated by a binding two-sided control (a synthetic positive case must flag, a synthetic negative must not) rather than by a mathematical proof.	The live repo corpus: all frontier/*/arc_verdict.json files (1122 arcs) and the listed doc/paper surfaces (docs/*.md, papers/P3_THE_PAPER/main.tex, outside_bench/*.md); hardcoded regexes for CLOSED_MARK/HEDGE_MARK/LIVE_ROUTE phrase lists and a stopword list.			CONTROL: positive 1, negative 0  =>  M1-DISCRIMINATES ... M-2  SWEEP: 25 permanence claims with a strongly-matching OPEN arc ... OUTCOME: M2-FINDINGS EXIT:0
D013	outside_bench/certificates/cp1_strata.py	PASS	Exact rational (Fraction) linear-algebra computation over e6 (sourced from twisted_double.py's verified 27-dim representation): enumerates all nilpotent characteristics via sl2-triple existence, asserts exactly 20 nonzero ones (matching E6's known nilpotent orbit count), independently rebuilds the 16 Levi-principal characteristics, isolates the 4 distinguished-non-regular strata, computes each one's exact 27-weight spectrum parity, and verifies an exact 'beat closure' relator/intertwining identity on the odd (lift-sensitive) stratum.	outside_bench/certificates/twisted_double.py, executed via exec() for its e6 root system, bracket function br(), and the verified 27-dim rep rho27_Q (self-checked there against 3003 Chevalley brackets); cited comparison targets from memo 2 (16 Levi-regular strata, 6 projective) and memo 29 (fermion-capability criterion).			nonzero nilpotent characteristics found: 20  (CONTROL: expect 20 = E6's nonzero orbit count) distinct Levi-principal characteristics: 16  (CONTROL: memo 2's 16) ... beat closure on c=(1, 2, 1, 0, 1, 1): relator=+I: True; Omega^2=A27: True; intertwinings: True ... projective totals: Levi-regular 6/16 (CONTROL: memo 2's 6) + distinguished 3/4 = 9/20 EXIT:0
D014	outside_bench/certificates/cp_column.py	PASS	Exact/symbolic check that two forced coupling tensors from the E6/E8 construction (the unique rational nullspace vector C on the 27, and the E8 family vertex T) have every entry in Q (in fact in {-1,1} and kappa*Z with kappa=-60), so no rephasing-invariant product of entries can be non-real — hence the object forces zero CP-odd phase in both banked channels.	Imports/execs code from outside_bench/certificates/twisted_double.py (E6 algebra + 27-rep construction, up to its stage-4 marker) and outside_bench/certificates/e7_ladder.py (E8 Cartan/root construction helper), both in-repo; no external data files; all computation is exact rational arithmetic (fractions.Fraction) with hardcoded E8 Cartan matrix and construction steps from memos 47/48/53/50.			stage 1 VERIFY: rho27 respects ALL 3003 Chevalley brackets: PASS stage 3: relator acts as identity on the 27: PASS FACT 1: the unique 27-coupling C: dim 1 over Q, all 45 entries in {+1,-1}    after one normalization — ENTIRELY RATIONAL (memo 47 reproduced) FACT 2: the E8 family vertex T: all 1620 entries in kappa*Z = {-60, 60}    — ENTIRELY RATIONAL (kappa = -60, memo 53 reproduced) FACT 3: ... every product of entries in either channel is a nonzero RATIONAL — REAL. BRANCH REAL: ...
