packet	arc	orientation_source	status	evidence	amphichirality_test	headline	mechanism	note	quoted	files_read
F002	B1224_amphichiral_cs_torsion	GEOMETRY_CS_OR_TORSION	STANDS	COMPUTED	M.symmetry_group().is_amphicheiral() (kappa_cs.py line 8: a = M.symmetry_group().is_amphicheiral())	Amphichirality (SnapPy symmetry_group().is_amphicheiral()) forces Chern-Simons to be exactly 2-torsion {0,1/4}; m004 happens to sit at 0 — a contingent datum, not something the mechanism singles out.	Amphichirality gives CS=-CS hence 2*CS=0 in R/(1/2)Z, whose 2-torsion subgroup is exactly {0,1/4}; census check finds 6/6 amphichiral one-cusped manifolds landing exactly on {0,1/4} with m004 at 0.	Amphichirality itself is treated as a given manifold property (checked via the valid test, not the vacuous is_isometric_to); m004's landing at 0 rather than 1/4 is explicitly called contingent, not forced by the mechanism. Not retracted (no B1224 hits in docs/RETRACTIONS.md); addendum resolves an internal Atlas wording tension in the arc's own favour.	"frontier/B1224_amphichiral_cs_torsion/FINDINGS.md:1: ""# B1224 — A GATE OF OURS KILLED A POSITIVE: amphichirality forces CS to be 2-TORSION, and the thesis survives on its own quantity"" ; kappa_cs.py:8: ""a = M.symmetry_group().is_amphicheiral()"""	
F002	B1226_the_beta_odd_box	GEOMETRY_CS_OR_TORSION	STANDS	COMPUTED	symmetry_group().is_amphicheiral() (cross-checked by cusp-map determinant sign); is_isometric_to(mirror) explicitly named and shown vacuous/misleading	Names the correct amphichirality test explicitly and shows the CS=0-iff-amphichiral equivalence is refuted both directions; m004's blindness-to-k is reclassified as a contingent datum (which ℤ/2 element the object sits at), not a symmetry theorem.	Counterexamples on the 600-manifold census: m208 is chiral but has CS=0 (kills CS=0=>amph), and m003/m135/m207 are amphichiral but CS=1/4 (kills amph=>CS=0). M.is_isometric_to(mirror) is shown to be a false test (finds orientation-reversing isometries, not amphichirality) via m208, where symmetry_group().is_amphicheiral() cross-checked by cusp-map determinant gives the correct answer.	Directly documents the vacuity of is_isometric_to(mirror) named in the seat's question. Reclassifies m004's CS=0 as a contingent object datum (which element of the forced Z/2 it occupies), not something derived from an intrinsic rule. Not retracted.	"frontier/B1226_the_beta_odd_box/FINDINGS.md:35-39: ""`M.is_isometric_to(mirror)` returns `True` for m208 — and\nit is **not a chirality test**: it finds *orientation-reversing* isometries. The authoritative test is\n`symmetry_group().is_amphicheiral()`, cross-checked here by cusp-map determinant: m208's isometries to\nits mirror all have `det = −1`; m004's and m003's carry **both** `+1` and `−1`."""	
F002	B1227_one_theorem_two_regimes	NONE_OBJECT_AMPHICHIRAL	STANDS	ASSERTED	none (amphichirality is the hypothesis of the theorem, not tested here; relies on B1224's prior SnapPy computation)	Generalizes B1224's argument: for any amphichiral M and mirror-odd invariant I valued in abelian group A, 2*I(M)=0 in A — a conditional theorem taking amphichirality as a given hypothesis, not deriving it from σ.	"Amphichirality is assumed (""Let M be amphichiral, so the mirror μ is a self-isometry""); invariance under an isometry plus mirror-oddness of I forces 2*I(M)=0; torsion of A then decides whether I lands in {0,1/4} (B1224) or is forced to exactly 0 (B1225's regime)."	Purely a consolidation theorem conditioned on amphichirality; does not itself derive orientation from σ or test m004's amphichirality (imports it from B1224). Not retracted.	"frontier/B1227_one_theorem_two_regimes/FINDINGS.md:8-9: ""Let `M` be amphichiral, so the mirror `μ` is a **self**-isometry: `μ(M) ≅ M`. Let `I` be an\nisometry invariant valued in an abelian group `A`, and mirror-**odd**: `I(μM) = −I(M)`."""	
F002	B1234_a6_built_the_walls	OBSERVER_CHOICE	STANDS	COMPUTED	is_isometric_to used only to confirm m004 = orientation cover of m000 (a distinct claim from amphichirality); amphichirality of the 40-manifold cover set is asserted/counted from construction (deck transformation argument), not via symmetry_group().is_amphicheiral() call shown in this arc	Traces amphichirality of m004 to a single upstream construction choice (A6: 'take M-squared, the orientable one') rather than to any intrinsic property of the object; orientation double covers are amphichiral 100% by construction (40/40) vs a 3% base rate.	m004 is the orientation double cover of the non-orientable Gieseking manifold m000 (isometric, volume ratio exactly 2.0); an orientation double cover always carries the orientation-reversing deck transformation, forcing amphichirality by construction (100% vs 3% control base rate). A6, the step choosing the orientable square M^2 over the det=-1 M, is explicitly labeled a choice/[AXIOM], not a derivation.	This is the arc most directly answering the seat's question for the arc set: it argues explicitly that amphichirality (hence CS=0, hence all eight downstream 'walls' including chirality-not-self-supplied) traces to a chosen construction step (A6), not to the substitution rule or object intrinsically. Not retracted (no B1234 hits in docs/RETRACTIONS.md).	"frontier/B1234_a6_built_the_walls/FINDINGS.md:25,56: ""## Cell 1 — amphichirality is *forced by the construction*, not found in the object"" ... ""**A6 is a choice.** P019 already labels it `[AXIOM]`. B749 already priced its fork **F5 as FRAGILE**,\nnaming the det −1 sibling as the Gieseking. **The record priced the choice and never connected it to\nthe walls.**"""	
F002	B124_time_reversal_reciprocity	RULE_INTRINSIC	STANDS	COMPUTED	none run in this arc; it cross-references B118/B121's amphichirality result rather than computing it	A det=-1 handedness (parity-type) asymmetry is found intrinsically in the SL(n) trace-map tower's mode-count spectrum (algebraic, not a manifold's amphichirality), cross-referenced to B118/B121 amphichirality but explicitly scoped as a different (representation-theoretic) chirality from the topological one.	At SL(n>=3), det=-1 spectra carry char(-M^h) negative-mode sectors absent at det=+1, an O(n/2) sign/chirality imbalance tied to the inversion identity char(M^-1)=char(-M); expanding and contracting mode counts are exactly equal at every n and both det signs, so there is a P-type asymmetry but no T-type arrow.	B127 later explicitly notes this is the algebraic P-parity of the representation tower, orthogonal to and distinct from the manifold's topological CS/amphichirality; it does not derive m004's orientation from σ. Not retracted (grep hits are cross-refs only).	"frontier/B124_time_reversal_reciprocity/FINDINGS.md:55: ""**Is:** a generic symplectic time-reversal structure (§1) + one real metallic-specific residue — a det=−1 *handedness*\n  (P) asymmetry (§2), exact constant open."""	
F002	B127_chirality_arithmetic_naming	RULE_INTRINSIC	STANDS	COMPUTED	none named explicitly in this file beyond citing SnapPy complex_volume=0 (machine zero) as the CS witness; amphichirality is inferred from the word-palindrome argument rather than a direct is_amphicheiral() call shown here	M-2: the word R^m L^m (m=1 corresponds to m004 via RL) is palindromic under reverse+swap, an orientation-reversing symmetry intrinsic to the word, hence amphichiral — computed to give CS=0 exactly (m=1..6) confirmed by SnapPy against a discriminating census mix.	The swap conjugation sends L^m R^m -> R^m L^m; this reverse+swap palindrome structure of the word itself is an orientation-reversing symmetry of the manifold, forcing amphichirality (and hence CS=0) directly from the combinatorial structure of the substitution word, not from an external choice.	This is the clearest case in the record of an intrinsic (RULE_INTRINSIC) derivation: the word's own palindrome-under-swap structure is what forces amphichirality/orientation-symmetry, for the pure single-block case that includes m004 (m=1, RL). B128 later scopes this as the k=1 corner of a broader recursion (see B128). Not retracted; verdict NEGATIVE for the physics-bridge claims but M-2 (math) stands.	"frontier/B127_chirality_arithmetic_naming/FINDINGS.md:19-20: ""Structural reason: `R^m L^m`\n  is palindromic under reverse+swap (the swap conjugation sends `L^m R^m → R^m L^m`) — an orientation-reversing\n  symmetry, hence amphichiral."""	
F002	B128_symmetry_breaking_chirality	OBSERVER_CHOICE	STANDS	COMPUTED	M.symmetry_group().is_amphicheiral(), gated on M.symmetry_group().is_full_group()==True; explicitly validated against and contrasted with the vacuous naive M.is_isometric_to(M_mirror) (false positives on known-chiral m015/m016/m009)	Central theorem: the metallic structure PERMITS symmetry breaking (chirality) but never FORCES it — for k=1 (m004) it is forced achiral by the R<->L block swap = word reversal; a genuinely chiral (handed) object only appears when multiple towers are glued in a non-palindromic ORDER, and that order is an explicit free choice, not derived.	Chirality recursion theorem (M-A): W=R^m1 L^m1...R^mk L^mk is amphichiral iff the block-length sequence (m1,...,mk) is itself amphichiral (its reversal is a cyclic rotation of itself); block-reversal = mirror image = exact CS negation (M-C). For k=1 (m004) this always closes achiral by cyclic conjugacy. Only non-palindromic multi-tower gluing (e.g. order (1,2,3)) breaks CS=0, and 'which arrangement is chiral is fixed by the gluing order = a free choice.'	This is the single most decisive arc for the seat's question: for the pure/single-block case containing m004, amphichirality is intrinsically forced (RULE_INTRINSIC, agreeing with B127's M-2), but any actual handedness/chirality in the broader family is an explicit ORDER choice ('a free ordering choice the structure does not dictate'), i.e. chosen, not derived from sigma alone. Also gives the exact valid amphichirality test and documents the naive-isometry vacuity bug. Not retracted (no B128 hits in docs/RETRACTIONS.md).	"frontier/B128_symmetry_breaking_chirality/FINDINGS.md:15,20,54,64-66: ""Naive `M.is_isometric_to(M_mirror)` is orientation-blind and gives FALSE POSITIVES for amphichirality."" ... ""**Correct test:** `M.symmetry_group().is_amphicheiral()`, gated on `M.symmetry_group().is_full_group() == True`."" ... ""**The metallic structure PERMITS symmetry breaking but never FORCES it.**"" ... ""*which* arrangement is chiral is fixed by the gluing **order** = a free choice. Composition **permits** the break and **does not force** it."""	
F003	B132_quantum_layer	NONE_OBJECT_AMPHICHIRAL	STANDS	COMPUTED	is_amphicheiral (SnapPy) used to select the achiral control set in S7	SU(2)_k eigenvalue field content is quantum-group arithmetic (word spin-content mod 4), NOT chirality-linked; original chirality-arithmetic claim withdrawn as a sampling artifact.	Field content tracks the word's spin-content mod 4 (SU(2)_k T-twist phase); achiral words alone span all three fields (RRLL->Q(zeta12), RRRLLL->Q(sqrt-3), RLRLRL->Q), so chirality does not drive the arithmetic.	No orientation is derived from sigma:a->ab,b->a here; the arc explicitly retracts its own earlier chirality-derives-arithmetic reading as a confound. Handedness/chirality is treated as an external label (via SnapPy is_amphicheiral) applied to words, not produced by the substitution rule itself.	"frontier/B132_quantum_layer/FINDINGS.md:47-49: ""S7 — [WITHDRAWN by B133] the field content is quantum-group, not chirality (compositions at k=4). ... The decisive control (all words below are achiral by `is_amphicheiral`):"""	
F003	B134_chirality_recursion_proved	RULE_INTRINSIC	STANDS	MIXED	GHH 2008 anti-palindromic word criterion (cited/proved-corollary), cross-checked against SnapPy is_amphicheiral on a 16-case sample	Proves (as a corollary of Goodman-Heard-Hodgson 2008): a metallic-block bundle is amphichiral iff its block-length sequence is a cyclic palindrome.	GHH 2008's theorem: amphichiral iff the LR monodromy word is anti-palindromic (reverse = L<->R swap, cyclically). The arc lifts this to block-length sequences algebraically (reverse of R^m1L^m1...R^mkL^mk vs its L<->R swap), showing anti-palindromicity of W is equivalent to the block-length sequence being a cyclic palindrome.	This IS the closest thing in the record to deriving orientation intrinsically from the word/monodromy structure -- amphichirality (a mirror/no-mirror fact) is derived purely from the combinatorics of the R/L word itself, not chosen by an observer. However the mechanism is explicitly attributed to GHH 2008 (published, not novel); the project's own contribution is only the elementary block-length lift. It is about m004 specifically only insofar as m004 = the RL (m=1, figure-eight) case of this family.	"frontier/B134_chirality_recursion_proved/FINDINGS.md:161-163: ""Theorem. For a metallic-block word `W = R^{m1}L^{m1} R^{m2}L^{m2} … R^{m_k}L^{m_k}`, the once-punctured-torus bundle is amphichiral ⟺ the block-length sequence `(m1,…,m_k)` is a cyclic palindrome"""	
F003	B136_general_amphichirality	RULE_INTRINSIC	STANDS	COMPUTED	GHH anti-palindromic criterion (proved corollary), cross-checked with SnapPy is_amphicheiral on metallic and non-metallic words	Generalizes B134 to all once-punctured-torus bundles: amphichiral iff the block-pair sequence is invariant under reverse-order-plus-component-swap up to cyclic rotation.	Same GHH anti-palindromic mechanism, generalized from metallic (a_i=b_i) blocks to general R^{a_i}L^{b_i} blocks; verified exhaustively (7380 cases) and against SnapPy is_amphicheiral including genuinely non-metallic words.	Again orientation (amphichirality) is derived intrinsically from the LR word's block-pair structure, not chosen by hand; explicitly a restatement/specialization of GHH 2008, not claimed as a new theorem about 3-manifolds.	"frontier/B136_general_amphichirality/FINDINGS.md:8-11: ""amphichiral ⟺ the block-pair sequence `((a1,b1),…,(ak,bk))` is invariant under (reverse the order and swap each pair's components `(a,b)→(b,a)`) up to cyclic rotation."""	
F003	B139_firewall_cartography	GEOMETRY_CS_OR_TORSION	STANDS	COMPUTED	SnapPy symmetry_group/complex_volume control (CS sign flip, volume/H1 invariance) — not is_isometric_to(mirror); is_amphicheiral not directly run here (used in companion arcs)	Chirality is structurally blocked at every standard invariant computed: mirror (swap R<->L, reverse) preserves trace, char poly, Perron field, volume; only Chern-Simons sign flips.	R and L are transposes of each other as SL(2,Z) matrices (L=R^T), so mirroring a word sends the monodromy matrix M to M^T, which has the same trace/char-poly/volume; CS is the one quantity that flips sign under orientation reversal.	No preferred side is derived; a side (handedness) only shows up as a sign on Chern-Simons, and the arc treats CS-sign itself as the mirror label rather than a forced choice. The one place a distinguishing invariant could in principle live (genus>=2) is flagged open, not resolved, here.	"frontier/B139_firewall_cartography/FINDINGS.md:24-27: ""for any metallic-block word the mirror (`swap_{R↔L} ∘ reverse`) is a relabeling preserving the trace ⟹ same char poly ⟹ same Perron field ⟹ same volume; only CS flips sign. The bundle and its mirror are the same geometry with opposite CS (a symmetric pair)."""	
F003	B140_compute_reconciliation	GEOMETRY_CS_OR_TORSION	STANDS	MIXED	none run directly in this item; relies on the general orientation-reversal theorem (volume invariant, CS opposite, trace field conjugate) verified in-sandbox on named examples; separately records the RL^m/N^2 identity tying metallic bundles to B134's palindrome criterion	Closes the B139 open lead: the chirality firewall (mirror preserves all standard invariants except CS sign) is genus-general via the standard orientation-reversal theorem, not just a genus-1 relabeling trick.	For any oriented hyperbolic 3-manifold M, the mirror M-bar has same volume, opposite CS, and a Galois-conjugate-isomorphic trace field (orientation reversal conjugates the complex volume) -- a genus-independent theorem, verified on genus-1 bundles and chiral knots (5_2, 6_1).	Handedness/orientation-reversal is again a structural, mirror-symmetric relation (M vs M-bar), not something derived as a preferred side from sigma; the arc explicitly frames this as strengthening, not breaking, the no-preferred-handedness firewall.	"frontier/B140_compute_reconciliation/FINDINGS.md:10-13: ""The load-bearing content is the standard orientation-reversal theorem (genus-independent): for an oriented hyperbolic 3-manifold `M`, the mirror `M̄` has same volume, opposite Chern–Simons, conjugate-isomorphic trace field (orientation reversal conjugates the complex volume)."""	
F003	B143_interaction_feasibility	UNSTATED	STANDS	ASSERTED	none run in this item; is_amphicheiral is cited as the venue's only orientation-relevant handle (for notion i), planned for a future construction	The algebraic (trace) venue is structurally mirror-blind, so the chirality-of-interactions question cannot be settled there; needs orientation-sensitive topological tooling (Regina/JSJ) not installed.	B131's interaction lives in trace invariants (kappa, trT); the mirror preserves every trace exactly, so it acts as the identity on all algebraic data -> the venue cannot see true mirror-distinctness (notion ii), only the trivially-generic 'no orientation-reversing self-homeo' fact (notion i, already achieved by composites).	No orientation is derived here at all; this is a scoping/feasibility verdict stating that the current venue cannot even test for a preferred side, and that testing it requires tooling (Regina/JSJ or a hyperbolic-link realization) not yet available.	"frontier/B143_interaction_feasibility/FINDINGS.md:9-11: ""The chirality-of-interactions question cannot be answered in the algebraic (trace) venue — that venue is mirror-blind — and needs orientation-sensitive tooling not yet installed."""	
F003	B144_interaction_chirality	OBSERVER_CHOICE	STANDS	COMPUTED	SnapPy is_amphicheiral used as the premise check (both metallic pieces b++RL, b++RRLL confirmed amphichiral, both True); no is_isometric_to(mirror) used	Cusp-glued composites of amphichiral pieces are mirror-closed (mirror of any composite is another composite in the same family via a verified GL(2,Z) identity), so seed-heterogeneity cannot produce preferred handedness; several 'crack' targets shown vacuous by MB12.	Mirror-closure identity: M-bar(m1,m2,phi) is orientation-preserving-isomorphic to M(m1,m2, h2*phi*h1^-1) for h_i the amphichiral self-homeo's peripheral action; since h2*phi*h1^-1 is always in GL(2,Z), the mirror is always another member of the same construction family.	Directly answers the seat's question in the negative: no orientation/handedness is derived from the construction (mirror-closure means the family never picks a side); the redirect explicitly states preferred handedness would require a 'chirally-asymmetric input... not fixed by swap+reverse' -- i.e. it would have to be put in by hand, not derived from sigma.	"frontier/B144_interaction_chirality/FINDINGS.md:24-25: ""Since `h₂·φ·h₁⁻¹ ∈ GL(2,ℤ)` always (checked), the mirror is just another composite of the same pieces ⟹ the family is mirror-closed ⟹ no preferred handedness can arise."""	
F003	B145_forced_chirality	NONE_OBJECT_AMPHICHIRAL	STANDS	MIXED	GHH anti-palindromic criterion cross-checked against SnapPy is_amphicheiral on all 39 cataloged bundles (exact agreement); trace-field degree via Sage; NOTE: the arithmetic-arm sub-claim ('every quadratic-trace-field bundle is amphichiral') is later refuted by B146 using the invariant trace field (RRL/RLL have invariant field Q(sqrt-7) but are chiral)	Chirality cannot be forced: canonical/minimal criteria (minimal volume, quadratic trace field, simplest substitution = Fibonacci sigma:a->ab,b->a) all coincide with the self-mirror (amphichiral) locus; chirality only appears by leaving the canonical locus.	Across a 39-bundle catalog, the minimal-volume, arithmetic-candidate (quadratic trace field), and simplest-substitution (Fibonacci RL) objects are all anti-palindromic/self-mirror; chiral bundles (RRL etc.) are strictly larger/higher-degree, i.e. non-canonical.	This is the arc that directly names sigma:a->ab,b->a: it finds the substitution's own object (RL, figure-eight, i.e. m004) is amphichiral/self-mirror, and concludes handedness cannot be derived from any canonical/forced principle -- it is 'irreducibly contingent,' requiring a by-hand choice of handedness. B146 (not in this packet but grepped) refutes the arithmetic sub-arm specifically.	"frontier/B145_forced_chirality/FINDINGS.md:34-35: ""The simplest/forced substitution (Fibonacci `a→ab,b→a`, monodromy `RL`) is self-mirror; the metallic incidence `[[m,1],[1,0]]` (det −1) squares to `RᵐLᵐ`"" and FINDINGS.md:12-15: ""canonicity coincides with the self-mirror (amphichiral) condition; chirality requires leaving the canonical locus."""	
